round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,2.09,10.262222222222222,-8.172222222222222,4.263193609190785e-172,True,-2.862426492997689,Large
Second Round,1.91,7.885555555555555,-5.975555555555555,5.696419009373036e-173,True,-2.7939019502960596,Large
Sweet 16,1.085,4.435555555555555,-3.3505555555555553,1.425834807301774e-135,True,-2.4106519468668224,Large
Elite 8,0.825,2.7283333333333335,-1.9033333333333335,2.1583288226951838e-126,True,-2.0321603723346917,Large
Final Four,0.12,1.1961111111111111,-1.076111111111111,1.0704550711581731e-85,True,-1.8909781475644818,Large
Championship,0.015,0.5383333333333333,-0.5233333333333333,4.784669162639927e-47,True,-1.4423258402725376,Large
Total,6.045,27.04611111111111,-21.001111111111108,1.4172889908960151e-209,True,-3.2272024324295727,Large
