round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,14.205722601733669,19.266573055007335,-5.060850453273666,1.5042612388754912e-55,True,-1.559251710089054,Large
Second Round,8.322365162934132,10.007416652557877,-1.6850514896237456,3.780408693169548e-30,True,-1.0853236484722522,Large
Sweet 16,3.343613391782542,4.969088017226825,-1.6254746254442827,1.4691698994232703e-61,True,-1.5910169620330326,Large
Elite 8,2.2239698674952324,2.5619822884973393,-0.33801242100210693,6.714894052918473e-09,True,-0.543029861183014,Medium
Final Four,1.1471701308903373,1.274039829280344,-0.12686969839000684,0.0009324329344712004,True,-0.31578059222817834,Small
Championship,0.6163732591087847,0.6704462074673387,-0.05407294835855403,0.04503675349376697,True,-0.19750771563508357,Negligible
Overall,29.859214413944702,38.749546050037054,-8.890331636092352,2.770874597661072e-74,True,-1.8633941660736777,Large
