round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,16,Norfolk St,7,249,0.035,0.13833333333333334,-0.10333333333333333,-0.7469879518072289
First Round,16,SIUE,1,197,0.005,0.10944444444444444,-0.10444444444444444,-0.9543147208121827
First Round,16,American,4,231,0.02,0.12833333333333333,-0.10833333333333332,-0.8441558441558441
First Round,15,Omaha,1,223,0.005,0.1238888888888889,-0.11888888888888889,-0.9596412556053812
First Round,14,UNC Wilmington,4,252,0.02,0.14,-0.12000000000000001,-0.8571428571428571
First Round,15,Wofford,3,279,0.015,0.155,-0.14,-0.903225806451613
First Round,15,Bryant,2,297,0.01,0.165,-0.155,-0.9393939393939393
First Round,14,Montana,15,445,0.075,0.24722222222222223,-0.17222222222222222,-0.696629213483146
First Round,15,Robert Morris,5,368,0.025,0.20444444444444446,-0.17944444444444446,-0.8777173913043479
First Round,14,Lipscomb,9,460,0.045,0.25555555555555554,-0.21055555555555555,-0.8239130434782609
First Round,12,Liberty,19,594,0.095,0.33,-0.23500000000000001,-0.7121212121212122
First Round,13,Akron,17,577,0.085,0.32055555555555554,-0.23555555555555552,-0.7348353552859618
First Round,14,Troy,3,468,0.015,0.26,-0.245,-0.9423076923076923
First Round,11,Texas,22,653,0.11,0.36277777777777775,-0.25277777777777777,-0.6967840735068913
First Round,12,McNeese,10,549,0.05,0.305,-0.255,-0.8360655737704918
First Round,13,Grand Canyon,11,572,0.055,0.31777777777777777,-0.2627777777777778,-0.826923076923077
First Round,10,Vanderbilt,10,593,0.05,0.32944444444444443,-0.27944444444444444,-0.8482293423271501
First Round,9,Georgia,10,596,0.05,0.33111111111111113,-0.28111111111111114,-0.8489932885906041
First Round,9,Oklahoma,24,752,0.12,0.4177777777777778,-0.2977777777777778,-0.7127659574468085
First Round,9,Creighton,14,673,0.07,0.3738888888888889,-0.3038888888888889,-0.812778603268945
First Round,12,Colorado St,25,779,0.125,0.43277777777777776,-0.30777777777777776,-0.711168164313222
First Round,13,Yale,12,666,0.06,0.37,-0.31,-0.8378378378378378
First Round,13,High Point,17,712,0.085,0.39555555555555555,-0.31055555555555553,-0.7851123595505617
First Round,11,VCU,23,768,0.115,0.4266666666666667,-0.3116666666666667,-0.73046875
First Round,10,Utah State,16,728,0.08,0.40444444444444444,-0.3244444444444444,-0.8021978021978021
First Round,12,UC San Diego,9,691,0.045,0.3838888888888889,-0.3388888888888889,-0.8827785817655572
First Round,16,Alabama St,19,781,0.095,0.4338888888888889,-0.3388888888888889,-0.7810499359795136
First Round,10,New Mexico,24,838,0.12,0.46555555555555556,-0.34555555555555556,-0.7422434367541766
First Round,9,Baylor,26,865,0.13,0.48055555555555557,-0.35055555555555556,-0.7294797687861272
First Round,11,North Carolina,17,794,0.085,0.4411111111111111,-0.3561111111111111,-0.8073047858942065
First Round,10,Arkansas,18,815,0.09,0.4527777777777778,-0.36277777777777775,-0.8012269938650306
First Round,11,Drake,21,1007,0.105,0.5594444444444444,-0.45444444444444443,-0.8123138033763655
Second Round,16,SIUE,0,54,0.0,0.03,-0.03,-1.0
Second Round,16,American,0,68,0.0,0.03777777777777778,-0.03777777777777778,-1.0
Second Round,14,UNC Wilmington,0,71,0.0,0.03944444444444444,-0.03944444444444444,-1.0
Second Round,15,Omaha,0,81,0.0,0.045,-0.045,-1.0
Second Round,16,Norfolk St,0,89,0.0,0.049444444444444444,-0.049444444444444444,-1.0
Second Round,15,Wofford,0,93,0.0,0.051666666666666666,-0.051666666666666666,-1.0
Second Round,14,Montana,1,114,0.005,0.06333333333333334,-0.05833333333333334,-0.9210526315789475
Second Round,15,Bryant,0,107,0.0,0.059444444444444446,-0.059444444444444446,-1.0
Second Round,8,Mississippi St,12,223,0.06,0.1238888888888889,-0.0638888888888889,-0.515695067264574
Second Round,6,Missouri,19,289,0.095,0.16055555555555556,-0.06555555555555556,-0.40830449826989623
Second Round,15,Robert Morris,0,131,0.0,0.07277777777777777,-0.07277777777777777,-1.0
Second Round,14,Lipscomb,0,139,0.0,0.07722222222222222,-0.07722222222222222,-1.0
Second Round,9,Georgia,1,151,0.005,0.08388888888888889,-0.07888888888888888,-0.9403973509933774
Second Round,14,Troy,0,158,0.0,0.08777777777777777,-0.08777777777777777,-1.0
Second Round,9,Oklahoma,2,187,0.01,0.10388888888888889,-0.0938888888888889,-0.9037433155080214
Second Round,7,Kansas,8,245,0.04,0.1361111111111111,-0.09611111111111109,-0.7061224489795918
Second Round,8,UConn,12,281,0.06,0.15611111111111112,-0.09611111111111112,-0.6156583629893239
Second Round,10,Vanderbilt,0,182,0.0,0.10111111111111111,-0.10111111111111111,-1.0
Second Round,13,Grand Canyon,0,199,0.0,0.11055555555555556,-0.11055555555555556,-1.0
Second Round,7,Marquette,11,303,0.055,0.16833333333333333,-0.11333333333333334,-0.6732673267326733
Second Round,13,Akron,1,215,0.005,0.11944444444444445,-0.11444444444444445,-0.958139534883721
Second Round,8,Gonzaga,16,352,0.08,0.19555555555555557,-0.11555555555555556,-0.5909090909090909
Second Round,9,Creighton,4,247,0.02,0.13722222222222222,-0.11722222222222221,-0.854251012145749
Second Round,13,Yale,0,215,0.0,0.11944444444444445,-0.11944444444444445,-1.0
Second Round,10,Utah State,2,233,0.01,0.12944444444444445,-0.11944444444444445,-0.9227467811158798
Second Round,10,Arkansas,0,216,0.0,0.12,-0.12,-1.0
Second Round,12,Liberty,3,251,0.015,0.13944444444444445,-0.12444444444444445,-0.8924302788844621
Second Round,12,McNeese,1,251,0.005,0.13944444444444445,-0.13444444444444445,-0.9641434262948206
Second Round,9,Baylor,1,253,0.005,0.14055555555555554,-0.13555555555555554,-0.9644268774703557
Second Round,11,Texas,4,282,0.02,0.15666666666666668,-0.1366666666666667,-0.8723404255319149
Second Round,8,Louisville,24,467,0.12,0.2594444444444444,-0.13944444444444443,-0.5374732334047109
Second Round,13,High Point,1,263,0.005,0.1461111111111111,-0.1411111111111111,-0.9657794676806083
Second Round,7,UCLA,10,361,0.05,0.20055555555555554,-0.15055555555555555,-0.7506925207756233
Second Round,5,Memphis,27,515,0.135,0.2861111111111111,-0.15111111111111108,-0.5281553398058252
Second Round,6,BYU,31,551,0.155,0.3061111111111111,-0.1511111111111111,-0.49364791288566245
Second Round,5,Oregon,33,606,0.165,0.33666666666666667,-0.17166666666666666,-0.5099009900990099
Second Round,6,Ole Miss,22,513,0.11,0.285,-0.175,-0.6140350877192983
Second Round,10,New Mexico,0,327,0.0,0.18166666666666667,-0.18166666666666667,-1.0
Second Round,7,Saint Mary's,18,492,0.09,0.2733333333333333,-0.18333333333333332,-0.6707317073170732
Second Round,5,Clemson,43,719,0.215,0.39944444444444444,-0.18444444444444444,-0.4617524339360222
Second Round,12,UC San Diego,2,355,0.01,0.19722222222222222,-0.1872222222222222,-0.9492957746478873
Second Round,12,Colorado St,5,382,0.025,0.21222222222222223,-0.18722222222222223,-0.8821989528795812
Second Round,11,VCU,9,429,0.045,0.23833333333333334,-0.19333333333333336,-0.8111888111888113
Second Round,6,Illinois,22,548,0.11,0.30444444444444446,-0.19444444444444448,-0.6386861313868614
Second Round,5,Michigan,30,646,0.15,0.35888888888888887,-0.20888888888888887,-0.5820433436532507
Second Round,11,North Carolina,4,418,0.02,0.23222222222222222,-0.21222222222222223,-0.9138755980861244
Second Round,16,Alabama St,1,423,0.005,0.235,-0.22999999999999998,-0.9787234042553191
Second Round,11,Drake,2,499,0.01,0.2772222222222222,-0.2672222222222222,-0.9639278557114228
Sweet 16,4,Texas A&M,32,223,0.16,0.1238888888888889,0.03611111111111111,0.29147982062780264
Sweet 16,16,SIUE,0,19,0.0,0.010555555555555556,-0.010555555555555556,-1.0
Sweet 16,15,Wofford,0,24,0.0,0.013333333333333334,-0.013333333333333334,-1.0
Sweet 16,14,UNC Wilmington,0,25,0.0,0.013888888888888888,-0.013888888888888888,-1.0
Sweet 16,15,Omaha,0,28,0.0,0.015555555555555555,-0.015555555555555555,-1.0
Sweet 16,16,Norfolk St,0,30,0.0,0.016666666666666666,-0.016666666666666666,-1.0
Sweet 16,16,American,0,30,0.0,0.016666666666666666,-0.016666666666666666,-1.0
Sweet 16,14,Montana,0,33,0.0,0.018333333333333333,-0.018333333333333333,-1.0
Sweet 16,15,Bryant,0,34,0.0,0.01888888888888889,-0.01888888888888889,-1.0
Sweet 16,15,Robert Morris,0,38,0.0,0.021111111111111112,-0.021111111111111112,-1.0
Sweet 16,4,Purdue,13,160,0.065,0.08888888888888889,-0.02388888888888889,-0.26875
Sweet 16,14,Lipscomb,0,50,0.0,0.027777777777777776,-0.027777777777777776,-1.0
Sweet 16,14,Troy,0,55,0.0,0.030555555555555555,-0.030555555555555555,-1.0
Sweet 16,13,Grand Canyon,0,57,0.0,0.03166666666666667,-0.03166666666666667,-1.0
Sweet 16,12,McNeese,0,64,0.0,0.035555555555555556,-0.035555555555555556,-1.0
Sweet 16,10,Vanderbilt,0,65,0.0,0.03611111111111111,-0.03611111111111111,-1.0
Sweet 16,8,Mississippi St,2,85,0.01,0.04722222222222222,-0.03722222222222222,-0.788235294117647
Sweet 16,13,Yale,0,69,0.0,0.03833333333333333,-0.03833333333333333,-1.0
Sweet 16,6,Missouri,0,70,0.0,0.03888888888888889,-0.03888888888888889,-1.0
Sweet 16,9,Oklahoma,0,71,0.0,0.03944444444444444,-0.03944444444444444,-1.0
Sweet 16,3,Wisconsin,26,307,0.13,0.17055555555555554,-0.04055555555555554,-0.23778501628664486
Sweet 16,9,Georgia,0,74,0.0,0.04111111111111111,-0.04111111111111111,-1.0
Sweet 16,4,Maryland,21,265,0.105,0.14722222222222223,-0.04222222222222223,-0.2867924528301887
Sweet 16,13,High Point,0,77,0.0,0.042777777777777776,-0.042777777777777776,-1.0
Sweet 16,12,Liberty,0,79,0.0,0.04388888888888889,-0.04388888888888889,-1.0
Sweet 16,13,Akron,0,86,0.0,0.04777777777777778,-0.04777777777777778,-1.0
Sweet 16,10,Arkansas,0,93,0.0,0.051666666666666666,-0.051666666666666666,-1.0
Sweet 16,7,Kansas,2,116,0.01,0.06444444444444444,-0.05444444444444444,-0.8448275862068965
Sweet 16,11,Texas,0,101,0.0,0.05611111111111111,-0.05611111111111111,-1.0
Sweet 16,8,UConn,2,120,0.01,0.06666666666666667,-0.056666666666666664,-0.85
Sweet 16,9,Baylor,0,104,0.0,0.057777777777777775,-0.057777777777777775,-1.0
Sweet 16,10,Utah State,0,107,0.0,0.059444444444444446,-0.059444444444444446,-1.0
Sweet 16,3,Iowa State,23,316,0.115,0.17555555555555555,-0.06055555555555554,-0.34493670886075944
Sweet 16,7,Marquette,2,130,0.01,0.07222222222222222,-0.062222222222222213,-0.8615384615384615
Sweet 16,9,Creighton,0,122,0.0,0.06777777777777778,-0.06777777777777778,-1.0
Sweet 16,12,UC San Diego,0,122,0.0,0.06777777777777778,-0.06777777777777778,-1.0
Sweet 16,3,Kentucky,25,355,0.125,0.19722222222222222,-0.07222222222222222,-0.3661971830985915
Sweet 16,12,Colorado St,0,136,0.0,0.07555555555555556,-0.07555555555555556,-1.0
Sweet 16,10,New Mexico,0,140,0.0,0.07777777777777778,-0.07777777777777778,-1.0
Sweet 16,5,Oregon,6,203,0.03,0.11277777777777778,-0.08277777777777778,-0.7339901477832512
Sweet 16,7,UCLA,0,152,0.0,0.08444444444444445,-0.08444444444444445,-1.0
Sweet 16,3,Texas Tech,14,284,0.07,0.15777777777777777,-0.08777777777777776,-0.556338028169014
Sweet 16,8,Gonzaga,4,200,0.02,0.1111111111111111,-0.0911111111111111,-0.82
Sweet 16,5,Memphis,2,194,0.01,0.10777777777777778,-0.09777777777777778,-0.9072164948453608
Sweet 16,4,Arizona,10,272,0.05,0.1511111111111111,-0.10111111111111111,-0.6691176470588235
Sweet 16,6,Ole Miss,4,218,0.02,0.12111111111111111,-0.10111111111111111,-0.8348623853211009
Sweet 16,11,North Carolina,0,188,0.0,0.10444444444444445,-0.10444444444444445,-1.0
Sweet 16,11,VCU,1,201,0.005,0.11166666666666666,-0.10666666666666666,-0.9552238805970149
Sweet 16,11,Drake,0,199,0.0,0.11055555555555556,-0.11055555555555556,-1.0
Sweet 16,6,Illinois,4,235,0.02,0.13055555555555556,-0.11055555555555556,-0.8468085106382979
Sweet 16,5,Clemson,5,246,0.025,0.13666666666666666,-0.11166666666666666,-0.8170731707317074
Sweet 16,6,BYU,7,277,0.035,0.15388888888888888,-0.11888888888888888,-0.7725631768953068
Sweet 16,7,Saint Mary's,3,241,0.015,0.1338888888888889,-0.11888888888888889,-0.8879668049792531
Sweet 16,8,Louisville,2,247,0.01,0.13722222222222222,-0.1272222222222222,-0.9271255060728745
Sweet 16,5,Michigan,7,295,0.035,0.1638888888888889,-0.1288888888888889,-0.7864406779661016
Sweet 16,16,Alabama St,0,252,0.0,0.14,-0.14,-1.0
Elite 8,2,Michigan St,45,404,0.225,0.22444444444444445,0.0005555555555555591,0.0024752475247524913
Elite 8,14,UNC Wilmington,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Elite 8,15,Wofford,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
Elite 8,16,Norfolk St,0,9,0.0,0.005,-0.005,-1.0
Elite 8,14,Montana,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
Elite 8,15,Omaha,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
Elite 8,16,SIUE,0,11,0.0,0.006111111111111111,-0.006111111111111111,-1.0
Elite 8,15,Bryant,0,13,0.0,0.007222222222222222,-0.007222222222222222,-1.0
Elite 8,14,Lipscomb,0,13,0.0,0.007222222222222222,-0.007222222222222222,-1.0
Elite 8,16,American,0,13,0.0,0.007222222222222222,-0.007222222222222222,-1.0
Elite 8,15,Robert Morris,0,14,0.0,0.0077777777777777776,-0.0077777777777777776,-1.0
Elite 8,13,Grand Canyon,0,19,0.0,0.010555555555555556,-0.010555555555555556,-1.0
Elite 8,14,Troy,0,21,0.0,0.011666666666666667,-0.011666666666666667,-1.0
Elite 8,12,McNeese,0,22,0.0,0.012222222222222223,-0.012222222222222223,-1.0
Elite 8,9,Oklahoma,0,24,0.0,0.013333333333333334,-0.013333333333333334,-1.0
Elite 8,13,Yale,0,24,0.0,0.013333333333333334,-0.013333333333333334,-1.0
Elite 8,10,Vanderbilt,0,25,0.0,0.013888888888888888,-0.013888888888888888,-1.0
Elite 8,6,Missouri,0,28,0.0,0.015555555555555555,-0.015555555555555555,-1.0
Elite 8,12,Liberty,0,29,0.0,0.01611111111111111,-0.01611111111111111,-1.0
Elite 8,13,Akron,0,31,0.0,0.017222222222222222,-0.017222222222222222,-1.0
Elite 8,9,Georgia,0,31,0.0,0.017222222222222222,-0.017222222222222222,-1.0
Elite 8,10,Arkansas,0,32,0.0,0.017777777777777778,-0.017777777777777778,-1.0
Elite 8,8,Mississippi St,0,32,0.0,0.017777777777777778,-0.017777777777777778,-1.0
Elite 8,13,High Point,0,35,0.0,0.019444444444444445,-0.019444444444444445,-1.0
Elite 8,11,Texas,0,37,0.0,0.020555555555555556,-0.020555555555555556,-1.0
Elite 8,10,Utah State,0,38,0.0,0.021111111111111112,-0.021111111111111112,-1.0
Elite 8,9,Baylor,0,39,0.0,0.021666666666666667,-0.021666666666666667,-1.0
Elite 8,4,Texas A&M,6,97,0.03,0.05388888888888889,-0.02388888888888889,-0.443298969072165
Elite 8,7,Marquette,0,45,0.0,0.025,-0.025,-1.0
Elite 8,8,UConn,0,47,0.0,0.026111111111111113,-0.026111111111111113,-1.0
Elite 8,7,Kansas,0,48,0.0,0.02666666666666667,-0.02666666666666667,-1.0
Elite 8,12,Colorado St,0,51,0.0,0.028333333333333332,-0.028333333333333332,-1.0
Elite 8,7,UCLA,0,52,0.0,0.028888888888888888,-0.028888888888888888,-1.0
Elite 8,12,UC San Diego,0,53,0.0,0.029444444444444443,-0.029444444444444443,-1.0
Elite 8,10,New Mexico,0,54,0.0,0.03,-0.03,-1.0
Elite 8,2,Tennessee,31,342,0.155,0.19,-0.035,-0.1842105263157895
Elite 8,9,Creighton,0,65,0.0,0.03611111111111111,-0.03611111111111111,-1.0
Elite 8,4,Purdue,0,66,0.0,0.03666666666666667,-0.03666666666666667,-1.0
Elite 8,6,Illinois,0,70,0.0,0.03888888888888889,-0.03888888888888889,-1.0
Elite 8,11,VCU,1,79,0.005,0.04388888888888889,-0.03888888888888889,-0.8860759493670887
Elite 8,11,North Carolina,0,72,0.0,0.04,-0.04,-1.0
Elite 8,5,Memphis,0,74,0.0,0.04111111111111111,-0.04111111111111111,-1.0
Elite 8,11,Drake,0,78,0.0,0.043333333333333335,-0.043333333333333335,-1.0
Elite 8,4,Maryland,2,100,0.01,0.05555555555555555,-0.04555555555555555,-0.82
Elite 8,5,Oregon,0,84,0.0,0.04666666666666667,-0.04666666666666667,-1.0
Elite 8,8,Gonzaga,1,94,0.005,0.052222222222222225,-0.04722222222222223,-0.9042553191489362
Elite 8,2,Alabama,25,316,0.125,0.17555555555555555,-0.05055555555555555,-0.2879746835443038
Elite 8,3,Wisconsin,5,137,0.025,0.07611111111111112,-0.051111111111111114,-0.6715328467153284
Elite 8,3,Iowa State,4,129,0.02,0.07166666666666667,-0.051666666666666666,-0.7209302325581395
Elite 8,7,Saint Mary's,0,93,0.0,0.051666666666666666,-0.051666666666666666,-1.0
Elite 8,6,Ole Miss,0,94,0.0,0.052222222222222225,-0.052222222222222225,-1.0
Elite 8,4,Arizona,1,109,0.005,0.06055555555555556,-0.05555555555555556,-0.9174311926605505
Elite 8,8,Louisville,1,112,0.005,0.06222222222222222,-0.05722222222222222,-0.9196428571428572
Elite 8,3,Texas Tech,1,120,0.005,0.06666666666666667,-0.06166666666666667,-0.925
Elite 8,3,Kentucky,1,130,0.005,0.07222222222222222,-0.06722222222222221,-0.9307692307692307
Elite 8,5,Clemson,0,121,0.0,0.06722222222222222,-0.06722222222222222,-1.0
Elite 8,6,BYU,0,124,0.0,0.06888888888888889,-0.06888888888888889,-1.0
Elite 8,16,Alabama St,0,135,0.0,0.075,-0.075,-1.0
Elite 8,5,Michigan,1,163,0.005,0.09055555555555556,-0.08555555555555555,-0.9447852760736196
Elite 8,2,St John's,40,580,0.2,0.32222222222222224,-0.12222222222222223,-0.3793103448275862
Final Four,15,Robert Morris,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
Final Four,15,Wofford,0,3,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
Final Four,16,SIUE,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
Final Four,14,UNC Wilmington,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
Final Four,14,Lipscomb,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
Final Four,14,Montana,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
Final Four,15,Omaha,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Final Four,16,American,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Final Four,14,Troy,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
Final Four,9,Oklahoma,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
Final Four,16,Norfolk St,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
Final Four,13,Grand Canyon,0,8,0.0,0.0044444444444444444,-0.0044444444444444444,-1.0
Final Four,8,Mississippi St,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
Final Four,10,Arkansas,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
Final Four,15,Bryant,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
Final Four,12,McNeese,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
Final Four,12,Liberty,0,11,0.0,0.006111111111111111,-0.006111111111111111,-1.0
Final Four,10,Vanderbilt,0,11,0.0,0.006111111111111111,-0.006111111111111111,-1.0
Final Four,11,Texas,0,11,0.0,0.006111111111111111,-0.006111111111111111,-1.0
Final Four,13,Yale,0,11,0.0,0.006111111111111111,-0.006111111111111111,-1.0
Final Four,9,Georgia,0,12,0.0,0.006666666666666667,-0.006666666666666667,-1.0
Final Four,9,Baylor,0,12,0.0,0.006666666666666667,-0.006666666666666667,-1.0
