round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.17,0.0022222222222222222,0.1677777777777778,75.50000000000001
First Round,1.0,0.245,0.0044444444444444444,0.24055555555555555,54.125
First Round,2.0,0.21,0.0077777777777777776,0.20222222222222222,26.0
First Round,3.0,0.21,0.019444444444444445,0.19055555555555553,9.799999999999999
First Round,4.0,0.085,0.02277777777777778,0.06222222222222223,2.731707317073171
First Round,5.0,0.05,0.035,0.015,0.4285714285714285
First Round,6.0,0.02,0.057777777777777775,-0.03777777777777777,-0.6538461538461537
First Round,7.0,0.0,0.07777777777777778,-0.07777777777777778,-1.0
First Round,8.0,0.005,0.09444444444444444,-0.08944444444444444,-0.9470588235294117
First Round,9.0,0.005,0.10444444444444445,-0.09944444444444445,-0.9521276595744681
First Round,10.0,0.0,0.10111111111111111,-0.10111111111111111,-1.0
First Round,11.0,0.0,0.12055555555555555,-0.12055555555555555,-1.0
First Round,12.0,0.0,0.09111111111111111,-0.09111111111111111,-1.0
First Round,13.0,0.0,0.07722222222222222,-0.07722222222222222,-1.0
First Round,14.0,0.0,0.058333333333333334,-0.058333333333333334,-1.0
First Round,15.0,0.0,0.04111111111111111,-0.04111111111111111,-1.0
First Round,16.0,0.0,0.03222222222222222,-0.03222222222222222,-1.0
First Round,17.0,0.0,0.02388888888888889,-0.02388888888888889,-1.0
First Round,18.0,0.0,0.012777777777777779,-0.012777777777777779,-1.0
First Round,19.0,0.0,0.006111111111111111,-0.006111111111111111,-1.0
First Round,20.0,0.0,0.005,-0.005,-1.0
First Round,21.0,0.0,0.002777777777777778,-0.002777777777777778,-1.0
First Round,22.0,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
First Round,23.0,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
First Round,24.0,0.0,0.0,0.0,inf
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.155,0.0016666666666666668,0.15333333333333332,91.99999999999999
Second Round,1.0,0.27,0.005555555555555556,0.2644444444444445,47.6
Second Round,2.0,0.28,0.016666666666666666,0.26333333333333336,15.800000000000002
Second Round,3.0,0.175,0.029444444444444443,0.14555555555555555,4.943396226415095
Second Round,4.0,0.065,0.051111111111111114,0.013888888888888888,0.2717391304347826
Second Round,5.0,0.04,0.08333333333333333,-0.04333333333333333,-0.52
Second Round,6.0,0.01,0.11666666666666667,-0.10666666666666667,-0.9142857142857144
Second Round,7.0,0.005,0.13166666666666665,-0.12666666666666665,-0.9620253164556961
Second Round,8.0,0.0,0.15388888888888888,-0.15388888888888888,-1.0
Second Round,9.0,0.0,0.1361111111111111,-0.1361111111111111,-1.0
Second Round,10.0,0.0,0.10777777777777778,-0.10777777777777778,-1.0
Second Round,11.0,0.0,0.07611111111111112,-0.07611111111111112,-1.0
Second Round,12.0,0.0,0.044444444444444446,-0.044444444444444446,-1.0
Second Round,13.0,0.0,0.030555555555555555,-0.030555555555555555,-1.0
Second Round,14.0,0.0,0.011666666666666667,-0.011666666666666667,-1.0
Second Round,15.0,0.0,0.002777777777777778,-0.002777777777777778,-1.0
Second Round,16.0,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
Sweet 16,0.0,0.28,0.008333333333333333,0.27166666666666667,32.6
Sweet 16,1.0,0.44,0.03611111111111111,0.4038888888888889,11.184615384615386
Sweet 16,2.0,0.21,0.08944444444444444,0.12055555555555555,1.3478260869565217
Sweet 16,3.0,0.055,0.16833333333333333,-0.11333333333333334,-0.6732673267326733
Sweet 16,4.0,0.015,0.22277777777777777,-0.20777777777777778,-0.9326683291770574
Sweet 16,5.0,0.0,0.195,-0.195,-1.0
Sweet 16,6.0,0.0,0.145,-0.145,-1.0
Sweet 16,7.0,0.0,0.10055555555555555,-0.10055555555555555,-1.0
Sweet 16,8.0,0.0,0.034444444444444444,-0.034444444444444444,-1.0
Elite 8,0.0,0.415,0.016666666666666666,0.3983333333333333,23.9
Elite 8,1.0,0.4,0.09888888888888889,0.3011111111111111,3.044943820224719
Elite 8,2.0,0.135,0.2811111111111111,-0.14611111111111108,-0.5197628458498023
Elite 8,3.0,0.045,0.3461111111111111,-0.3011111111111111,-0.8699839486356341
Elite 8,4.0,0.005,0.25722222222222224,-0.25222222222222224,-0.980561555075594
Total Upsets,0.0,0.03,0.0,0.03,inf
Total Upsets,1.0,0.045,0.0,0.045,inf
Total Upsets,2.0,0.08,0.0016666666666666668,0.07833333333333334,47.0
Total Upsets,3.0,0.135,0.0005555555555555556,0.13444444444444445,242.0
Total Upsets,4.0,0.095,0.0033333333333333335,0.09166666666666667,27.5
Total Upsets,5.0,0.12,0.0016666666666666668,0.11833333333333333,71.0
Total Upsets,6.0,0.09,0.0016666666666666668,0.08833333333333333,53.0
Total Upsets,7.0,0.09,0.0044444444444444444,0.08555555555555555,19.25
Total Upsets,8.0,0.075,0.0038888888888888888,0.07111111111111111,18.285714285714285
Total Upsets,9.0,0.09,0.0044444444444444444,0.08555555555555555,19.25
Total Upsets,10.0,0.04,0.0044444444444444444,0.035555555555555556,8.0
Total Upsets,11.0,0.045,0.005555555555555556,0.03944444444444444,7.1
Total Upsets,12.0,0.01,0.011111111111111112,-0.0011111111111111113,-0.10000000000000002
Total Upsets,13.0,0.02,0.006111111111111111,0.013888888888888888,2.2727272727272725
Total Upsets,14.0,0.015,0.010555555555555556,0.004444444444444444,0.4210526315789473
Total Upsets,15.0,0.005,0.018333333333333333,-0.013333333333333332,-0.7272727272727272
Total Upsets,16.0,0.0,0.024444444444444446,-0.024444444444444446,-1.0
Total Upsets,17.0,0.0,0.02388888888888889,-0.02388888888888889,-1.0
Total Upsets,18.0,0.0,0.03,-0.03,-1.0
Total Upsets,19.0,0.005,0.029444444444444443,-0.024444444444444442,-0.830188679245283
Total Upsets,20.0,0.0,0.03277777777777778,-0.03277777777777778,-1.0
Total Upsets,21.0,0.005,0.03166666666666667,-0.02666666666666667,-0.8421052631578947
Total Upsets,22.0,0.0,0.03722222222222222,-0.03722222222222222,-1.0
Total Upsets,23.0,0.005,0.03777777777777778,-0.03277777777777778,-0.8676470588235294
Total Upsets,24.0,0.0,0.04777777777777778,-0.04777777777777778,-1.0
Total Upsets,25.0,0.0,0.04777777777777778,-0.04777777777777778,-1.0
Total Upsets,26.0,0.0,0.05333333333333334,-0.05333333333333334,-1.0
Total Upsets,27.0,0.0,0.05277777777777778,-0.05277777777777778,-1.0
Total Upsets,28.0,0.0,0.051666666666666666,-0.051666666666666666,-1.0
Total Upsets,29.0,0.0,0.051666666666666666,-0.051666666666666666,-1.0
Total Upsets,30.0,0.0,0.042222222222222223,-0.042222222222222223,-1.0
Total Upsets,31.0,0.0,0.042777777777777776,-0.042777777777777776,-1.0
Total Upsets,32.0,0.0,0.03611111111111111,-0.03611111111111111,-1.0
Total Upsets,33.0,0.0,0.035,-0.035,-1.0
Total Upsets,34.0,0.0,0.03111111111111111,-0.03111111111111111,-1.0
Total Upsets,35.0,0.0,0.030555555555555555,-0.030555555555555555,-1.0
Total Upsets,36.0,0.0,0.01888888888888889,-0.01888888888888889,-1.0
Total Upsets,37.0,0.0,0.02,-0.02,-1.0
Total Upsets,38.0,0.0,0.01888888888888889,-0.01888888888888889,-1.0
Total Upsets,39.0,0.0,0.021111111111111112,-0.021111111111111112,-1.0
Total Upsets,40.0,0.0,0.013333333333333334,-0.013333333333333334,-1.0
Total Upsets,41.0,0.0,0.009444444444444445,-0.009444444444444445,-1.0
Total Upsets,42.0,0.0,0.008888888888888889,-0.008888888888888889,-1.0
Total Upsets,43.0,0.0,0.011111111111111112,-0.011111111111111112,-1.0
Total Upsets,44.0,0.0,0.01,-0.01,-1.0
Total Upsets,45.0,0.0,0.005,-0.005,-1.0
Total Upsets,46.0,0.0,0.005555555555555556,-0.005555555555555556,-1.0
Total Upsets,47.0,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
Total Upsets,48.0,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
Total Upsets,49.0,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
Total Upsets,50.0,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
