round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.03,0.005625,0.024375,4.333333333333334
First Round,1.0,0.08,0.009791666666666667,0.07020833333333333,7.170212765957446
First Round,2.0,0.165,0.016041666666666666,0.14895833333333333,9.285714285714286
First Round,3.0,0.135,0.025,0.11000000000000001,4.4
First Round,4.0,0.1,0.029166666666666667,0.07083333333333333,2.4285714285714284
First Round,5.0,0.095,0.04770833333333333,0.04729166666666667,0.9912663755458516
First Round,6.0,0.12,0.06604166666666667,0.05395833333333333,0.8170347003154574
First Round,7.0,0.05,0.09,-0.039999999999999994,-0.4444444444444444
First Round,8.0,0.08,0.09520833333333334,-0.015208333333333338,-0.15973741794310725
First Round,9.0,0.035,0.10770833333333334,-0.07270833333333333,-0.6750483558994197
First Round,10.0,0.05,0.105625,-0.055624999999999994,-0.5266272189349112
First Round,11.0,0.035,0.108125,-0.073125,-0.676300578034682
First Round,12.0,0.015,0.08395833333333333,-0.06895833333333333,-0.8213399503722084
First Round,13.0,0.01,0.07083333333333333,-0.06083333333333333,-0.8588235294117647
First Round,14.0,0.0,0.04791666666666667,-0.04791666666666667,-1.0
First Round,15.0,0.0,0.03833333333333333,-0.03833333333333333,-1.0
First Round,16.0,0.0,0.025416666666666667,-0.025416666666666667,-1.0
First Round,17.0,0.0,0.013125,-0.013125,-1.0
First Round,18.0,0.0,0.008125,-0.008125,-1.0
First Round,19.0,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
First Round,20.0,0.0,0.0014583333333333334,-0.0014583333333333334,-1.0
First Round,21.0,0.0,0.000625,-0.000625,-1.0
First Round,22.0,0.0,0.000625,-0.000625,-1.0
First Round,23.0,0.0,0.0,0.0,inf
First Round,24.0,0.0,0.00020833333333333335,-0.00020833333333333335,-1.0
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.055,0.008541666666666666,0.04645833333333334,5.439024390243903
Second Round,1.0,0.17,0.01875,0.15125000000000002,8.066666666666668
Second Round,2.0,0.155,0.03,0.125,4.166666666666667
Second Round,3.0,0.12,0.060833333333333336,0.05916666666666666,0.9726027397260272
Second Round,4.0,0.16,0.088125,0.07187500000000001,0.8156028368794328
Second Round,5.0,0.135,0.12333333333333334,0.011666666666666672,0.09459459459459464
Second Round,6.0,0.085,0.13625,-0.051250000000000004,-0.3761467889908257
Second Round,7.0,0.075,0.14041666666666666,-0.06541666666666666,-0.4658753709198813
Second Round,8.0,0.035,0.13479166666666667,-0.09979166666666667,-0.740340030911901
Second Round,9.0,0.01,0.09791666666666667,-0.08791666666666667,-0.897872340425532
Second Round,10.0,0.0,0.06833333333333333,-0.06833333333333333,-1.0
Second Round,11.0,0.0,0.043333333333333335,-0.043333333333333335,-1.0
Second Round,12.0,0.0,0.027083333333333334,-0.027083333333333334,-1.0
Second Round,13.0,0.0,0.015416666666666667,-0.015416666666666667,-1.0
Second Round,14.0,0.0,0.005208333333333333,-0.005208333333333333,-1.0
Second Round,15.0,0.0,0.00125,-0.00125,-1.0
Second Round,16.0,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
Sweet 16,0.0,0.195,0.03333333333333333,0.16166666666666668,4.8500000000000005
Sweet 16,1.0,0.285,0.08458333333333333,0.20041666666666663,2.3694581280788176
Sweet 16,2.0,0.185,0.1525,0.0325,0.21311475409836067
Sweet 16,3.0,0.165,0.19041666666666668,-0.02541666666666667,-0.13347921225382933
Sweet 16,4.0,0.13,0.19791666666666666,-0.06791666666666665,-0.34315789473684205
