round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,14.80692459693987,18.488052502430087,-3.681127905490216,4.7824048575093866e-33,True,-1.1048242643316268,Large
Second Round,7.615155078676026,9.459728484959845,-1.8445734062838186,1.9168812114112494e-31,True,-0.980036665274776,Large
Sweet 16,3.7031225146191646,4.627710629214597,-0.9245881145954327,3.0322880763403e-18,True,-0.7185365026510013,Medium
Elite 8,2.2525710842048423,2.496004734840341,-0.24343365063549882,6.182207327278045e-05,True,-0.3501936103833741,Small
Final Four,1.1904305665477075,1.2822819803462466,-0.09185141379853912,0.01647617006916467,True,-0.21331388065158916,Small
Championship,0.6608974174691085,0.6565758275349463,0.004321589934162207,0.8568418011283515,False,0.01680826981159612,Negligible
Overall,30.229101258456723,37.01035415932606,-6.78125290086934,7.20195048343315e-46,True,-1.3075669199860134,Large
