round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets
First Round,2.0,0.14895833333333333,2.0,2,4.91
Second Round,1.0,0.15125000000000002,1.0,1,3.56
Sweet 16,1.0,0.20041666666666663,1.0,1,1.875
Elite 8,0.0,0.1852083333333333,1.0,1,1.37
Total Upsets,3.0,0.060625,3.0,3,12.255
