seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
1,South Carolina,99,986,0.495,0.20541666666666666,0.2895833333333333,1.4097363083164298
1,UCLA,36,649,0.18,0.13520833333333335,0.044791666666666646,0.3312788906009243
8,California,1,11,0.005,0.0022916666666666667,0.0027083333333333334,1.1818181818181819
9,Mississippi St,0,2,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
16,UNC Greensboro,0,2,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
11,Murray St,0,3,0.0,0.000625,-0.000625,-1.0
16,Southern,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
15,Arkansas St,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
10,S Dakota St,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
15,Vermont,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
10,Oregon,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
14,Oregon St,0,6,0.0,0.00125,-0.00125,-1.0
12,South Florida,0,6,0.0,0.00125,-0.00125,-1.0
15,Lehigh,0,6,0.0,0.00125,-0.00125,-1.0
14,San Diego St,0,7,0.0,0.0014583333333333334,-0.0014583333333333334,-1.0
12,Ball State,0,7,0.0,0.0014583333333333334,-0.0014583333333333334,-1.0
11,Columbia,0,8,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
9,Georgia Tech,0,8,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
16,Tennessee Tech,0,8,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
14,FGCU,0,9,0.0,0.001875,-0.001875,-1.0
8,Illinois,0,9,0.0,0.001875,-0.001875,-1.0
9,Indiana,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
10,Nebraska,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
13,Liberty,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
5,Tennessee,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
10,Harvard,0,12,0.0,0.0025,-0.0025,-1.0
8,Richmond,0,12,0.0,0.0025,-0.0025,-1.0
6,Florida St,0,12,0.0,0.0025,-0.0025,-1.0
12,Fairfield,0,12,0.0,0.0025,-0.0025,-1.0
11,George Mason,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
13,Grand Canyon,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
13,Norfolk St,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
11,Iowa State,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
13,Montana St,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
12,Green Bay,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
8,Utah,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
7,Louisville,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
7,Vanderbilt,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
5,Alabama,0,15,0.0,0.003125,-0.003125,-1.0
5,Kansas St,0,16,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
7,Michigan St,0,17,0.0,0.0035416666666666665,-0.0035416666666666665,-1.0
1,USC,20,498,0.1,0.10375,-0.0037499999999999895,-0.03614457831325291
6,Iowa,0,18,0.0,0.00375,-0.00375,-1.0
1,Texas,22,546,0.11,0.11375,-0.0037500000000000033,-0.032967032967032996
4,Baylor,1,44,0.005,0.009166666666666667,-0.004166666666666667,-0.45454545454545453
6,Michigan,0,22,0.0,0.004583333333333333,-0.004583333333333333,-1.0
5,Ole Miss,0,23,0.0,0.004791666666666666,-0.004791666666666666,-1.0
4,Kentucky,0,23,0.0,0.004791666666666666,-0.004791666666666666,-1.0
3,LSU,1,54,0.005,0.01125,-0.0062499999999999995,-0.5555555555555556
4,Maryland,0,31,0.0,0.006458333333333333,-0.006458333333333333,-1.0
6,West Virginia,0,35,0.0,0.007291666666666667,-0.007291666666666667,-1.0
4,Ohio State,0,36,0.0,0.0075,-0.0075,-1.0
9,Creighton,0,39,0.0,0.008125,-0.008125,-1.0
3,North Carolina,0,44,0.0,0.009166666666666667,-0.009166666666666667,-1.0
3,Oklahoma,0,49,0.0,0.010208333333333333,-0.010208333333333333,-1.0
2,UConn,8,265,0.04,0.05520833333333333,-0.01520833333333333,-0.2754716981132075
7,Oklahoma St,0,73,0.0,0.015208333333333334,-0.015208333333333334,-1.0
3,Notre Dame,0,101,0.0,0.021041666666666667,-0.021041666666666667,-1.0
2,Duke,3,188,0.015,0.03916666666666667,-0.02416666666666667,-0.6170212765957447
2,TCU,1,171,0.005,0.035625,-0.030624999999999996,-0.8596491228070176
2,NC State,8,535,0.04,0.11145833333333334,-0.07145833333333335,-0.6411214953271028
