round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,4.91,9.549583333333333,-4.6395833333333325,3.074558390795109e-67,True,-1.3639608390666693,Large
Second Round,3.56,6.774166666666667,-3.214166666666667,7.556122198175179e-58,True,-1.2835727637564438,Large
Sweet 16,1.875,3.7247916666666665,-1.8497916666666665,4.507815214256924e-44,True,-1.1154145938852786,Large
Elite 8,1.37,2.3858333333333333,-1.0158333333333331,1.2261360384472707e-36,True,-0.935963893411071,Large
Final Four,0.425,1.023125,-0.598125,9.052684827641625e-29,True,-0.8962672198231555,Large
Championship,0.115,0.441875,-0.326875,3.99201865202713e-20,True,-0.7831768147224182,Medium
Total,12.255,23.899375,-11.644374999999998,9.94529666428702e-76,True,-1.475000601225272,Large
