round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,9,Georgia Tech,24,1521,0.12,0.316875,-0.19687500000000002,-0.6213017751479291
First Round,12,South Florida,44,2010,0.22,0.41875,-0.19875,-0.4746268656716418
First Round,13,Norfolk St,31,1726,0.155,0.3595833333333333,-0.2045833333333333,-0.5689455388180764
First Round,11,Columbia,32,1753,0.16,0.36520833333333336,-0.20520833333333335,-0.5618938961779806
First Round,9,Creighton,73,2756,0.365,0.5741666666666667,-0.20916666666666672,-0.3642960812772134
First Round,10,Oregon,29,1797,0.145,0.374375,-0.22937500000000002,-0.6126878130217028
First Round,12,Green Bay,39,2117,0.195,0.44104166666666667,-0.24604166666666666,-0.5578649031648559
Second Round,5,Tennessee,47,1097,0.235,0.22854166666666667,0.006458333333333316,0.028258887876025447
Second Round,5,Ole Miss,48,1166,0.24,0.24291666666666667,-0.0029166666666666785,-0.012006861063464885
Second Round,5,Kansas St,51,1290,0.255,0.26875,-0.013749999999999984,-0.05116279069767436
Second Round,14,SF Austin,1,117,0.005,0.024375,-0.019375,-0.7948717948717948
Second Round,16,UNC Greensboro,0,101,0.0,0.021041666666666667,-0.021041666666666667,-1.0
Second Round,15,Arkansas St,4,203,0.02,0.042291666666666665,-0.022291666666666664,-0.5270935960591133
Second Round,15,Fair Dickinson,0,110,0.0,0.022916666666666665,-0.022916666666666665,-1.0
Second Round,16,William & Mary,0,120,0.0,0.025,-0.025,-1.0
Second Round,5,Alabama,41,1136,0.205,0.23666666666666666,-0.031666666666666676,-0.1338028169014085
Second Round,16,Southern,0,162,0.0,0.03375,-0.03375,-1.0
Second Round,6,Michigan,34,995,0.17,0.20729166666666668,-0.03729166666666667,-0.17989949748743717
Second Round,15,Vermont,0,188,0.0,0.03916666666666667,-0.03916666666666667,-1.0
Second Round,10,S Dakota St,1,229,0.005,0.04770833333333333,-0.042708333333333334,-0.8951965065502184
Second Round,16,Tennessee Tech,1,258,0.005,0.05375,-0.04875,-0.9069767441860466
Second Round,12,Fairfield,28,927,0.14,0.193125,-0.05312499999999998,-0.2750809061488672
Second Round,8,Illinois,8,450,0.04,0.09375,-0.05375,-0.5733333333333334
Second Round,9,Indiana,10,500,0.05,0.10416666666666667,-0.05416666666666667,-0.52
Second Round,9,Georgia Tech,4,357,0.02,0.074375,-0.05437499999999999,-0.7310924369747899
Second Round,7,Vanderbilt,24,840,0.12,0.175,-0.05499999999999999,-0.3142857142857143
Second Round,10,Nebraska,8,482,0.04,0.10041666666666667,-0.06041666666666667,-0.6016597510373444
Second Round,8,Utah,12,591,0.06,0.123125,-0.063125,-0.5126903553299492
Second Round,6,Florida St,34,1120,0.17,0.23333333333333334,-0.06333333333333332,-0.2714285714285714
Second Round,11,Murray St,12,608,0.06,0.12666666666666668,-0.06666666666666668,-0.5263157894736843
Second Round,6,Iowa,40,1282,0.2,0.26708333333333334,-0.06708333333333333,-0.25117004680187205
Second Round,7,Louisville,25,925,0.125,0.19270833333333334,-0.06770833333333334,-0.35135135135135137
Second Round,12,South Florida,17,751,0.085,0.15645833333333334,-0.07145833333333333,-0.4567243675099867
Second Round,10,Harvard,5,467,0.025,0.09729166666666667,-0.07229166666666667,-0.7430406852248395
Second Round,9,Mississippi St,0,348,0.0,0.0725,-0.0725,-1.0
Second Round,10,Oregon,5,481,0.025,0.10020833333333333,-0.07520833333333332,-0.7505197505197504
Second Round,15,Lehigh,0,389,0.0,0.08104166666666666,-0.08104166666666666,-1.0
Second Round,6,West Virginia,46,1503,0.23,0.313125,-0.08312499999999998,-0.2654690618762474
Second Round,14,San Diego St,2,450,0.01,0.09375,-0.08375,-0.8933333333333334
Second Round,8,California,14,744,0.07,0.155,-0.08499999999999999,-0.5483870967741935
Second Round,14,Oregon St,2,456,0.01,0.095,-0.085,-0.8947368421052632
Second Round,13,Grand Canyon,15,787,0.075,0.16395833333333334,-0.08895833333333335,-0.5425667090216011
Second Round,13,Montana St,10,676,0.05,0.14083333333333334,-0.09083333333333334,-0.6449704142011834
Second Round,11,Iowa State,12,726,0.06,0.15125,-0.09125,-0.6033057851239669
Second Round,11,Columbia,13,750,0.065,0.15625,-0.09125,-0.584
Second Round,7,Oklahoma St,40,1402,0.2,0.2920833333333333,-0.0920833333333333,-0.3152639087018544
Second Round,8,Richmond,12,787,0.06,0.16395833333333334,-0.10395833333333335,-0.6340533672172809
Second Round,12,Ball State,9,717,0.045,0.149375,-0.10437500000000001,-0.698744769874477
Second Round,11,George Mason,12,810,0.06,0.16875,-0.10875000000000001,-0.6444444444444445
Second Round,13,Liberty,12,829,0.06,0.17270833333333332,-0.11270833333333333,-0.6525934861278649
Second Round,9,Creighton,15,904,0.075,0.18833333333333332,-0.11333333333333333,-0.6017699115044248
Second Round,7,Michigan St,7,732,0.035,0.1525,-0.1175,-0.7704918032786885
Second Round,13,Norfolk St,8,758,0.04,0.15791666666666668,-0.11791666666666667,-0.7467018469656992
Second Round,14,FGCU,10,823,0.05,0.17145833333333332,-0.12145833333333332,-0.7083839611178615
Second Round,12,Green Bay,13,972,0.065,0.2025,-0.1375,-0.6790123456790124
Sweet 16,3,Oklahoma,35,813,0.175,0.169375,0.005624999999999991,0.03321033210332098
Sweet 16,15,Arkansas St,2,61,0.01,0.012708333333333334,-0.0027083333333333334,-0.21311475409836067
