seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
1,South Carolina,144,311,0.72,0.17277777777777778,0.5472222222222222,3.1672025723472665
1,UCLA,43,261,0.215,0.145,0.07,0.48275862068965525
16,UNC Greensboro,0,1,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
16,Tennessee Tech,0,1,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
9,Georgia Tech,0,1,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
15,Lehigh,0,1,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
14,SF Austin,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
15,Arkansas St,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
10,S Dakota St,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
12,South Florida,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
11,Iowa State,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
16,William & Mary,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
10,Nebraska,0,2,0.0,0.0011111111111111111,-0.0011111111111111111,-1.0
14,San Diego St,0,3,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
8,Utah,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
5,Tennessee,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
15,Fair Dickinson,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
6,Iowa,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
15,Vermont,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
10,Oregon,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
11,Murray St,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
7,Michigan St,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
9,Mississippi St,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
9,Indiana,0,4,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
14,Oregon St,0,5,0.0,0.002777777777777778,-0.002777777777777778,-1.0
12,Green Bay,0,5,0.0,0.002777777777777778,-0.002777777777777778,-1.0
13,Montana St,0,5,0.0,0.002777777777777778,-0.002777777777777778,-1.0
6,Florida St,0,5,0.0,0.002777777777777778,-0.002777777777777778,-1.0
7,Vanderbilt,0,5,0.0,0.002777777777777778,-0.002777777777777778,-1.0
8,California,0,5,0.0,0.002777777777777778,-0.002777777777777778,-1.0
5,Kansas St,0,5,0.0,0.002777777777777778,-0.002777777777777778,-1.0
11,George Mason,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
5,Ole Miss,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
13,Grand Canyon,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
13,Liberty,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
10,Harvard,0,6,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
11,Columbia,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
12,Fairfield,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
8,Illinois,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
12,Ball State,0,7,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
7,Louisville,0,8,0.0,0.0044444444444444444,-0.0044444444444444444,-1.0
14,FGCU,0,8,0.0,0.0044444444444444444,-0.0044444444444444444,-1.0
4,Kentucky,0,8,0.0,0.0044444444444444444,-0.0044444444444444444,-1.0
5,Alabama,0,9,0.0,0.005,-0.005,-1.0
13,Norfolk St,0,9,0.0,0.005,-0.005,-1.0
8,Richmond,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
6,Michigan,0,10,0.0,0.005555555555555556,-0.005555555555555556,-1.0
7,Oklahoma St,0,14,0.0,0.0077777777777777776,-0.0077777777777777776,-1.0
4,Maryland,0,16,0.0,0.008888888888888889,-0.008888888888888889,-1.0
9,Creighton,0,17,0.0,0.009444444444444445,-0.009444444444444445,-1.0
3,Oklahoma,0,18,0.0,0.01,-0.01,-1.0
3,North Carolina,0,19,0.0,0.010555555555555556,-0.010555555555555556,-1.0
6,West Virginia,0,23,0.0,0.012777777777777779,-0.012777777777777779,-1.0
4,Ohio State,0,25,0.0,0.013888888888888888,-0.013888888888888888,-1.0
3,LSU,0,25,0.0,0.013888888888888888,-0.013888888888888888,-1.0
4,Baylor,0,27,0.0,0.015,-0.015,-1.0
3,Notre Dame,0,35,0.0,0.019444444444444445,-0.019444444444444445,-1.0
2,Duke,1,62,0.005,0.034444444444444444,-0.029444444444444443,-0.8548387096774194
2,TCU,0,81,0.0,0.045,-0.045,-1.0
2,NC State,1,115,0.005,0.06388888888888888,-0.058888888888888886,-0.9217391304347826
2,UConn,1,141,0.005,0.07833333333333334,-0.07333333333333333,-0.9361702127659574
1,Texas,7,204,0.035,0.11333333333333333,-0.07833333333333332,-0.6911764705882353
1,USC,3,190,0.015,0.10555555555555556,-0.09055555555555556,-0.8578947368421053
