round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,2.07,10.152222222222223,-8.082222222222223,5.467189684913476e-165,True,-2.811150049294794,Large
Second Round,1.62,7.141111111111111,-5.521111111111111,8.273882281440946e-145,True,-2.5795143241417753,Large
Sweet 16,0.88,4.052222222222222,-3.1722222222222225,8.657440394307132e-112,True,-2.2106136186901586,Large
Elite 8,0.615,2.4722222222222223,-1.8572222222222223,1.8129989923882392e-106,True,-1.9727175775423957,Large
Final Four,0.1,1.0755555555555556,-0.9755555555555556,1.4018399978019342e-68,True,-1.7056165924707167,Large
Championship,0.015,0.4633333333333333,-0.4483333333333333,1.99631761076891e-35,True,-1.235329900936692,Large
Total,5.3,25.356666666666666,-20.056666666666665,8.207418545178985e-182,True,-3.0333325971764493,Large
