round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,13.778518658510084,19.217948361353123,-5.439429702843039,2.921072383850676e-52,True,-1.5376332063970555,Large
Second Round,6.7168215808545515,9.774645637459665,-3.0578240566051136,1.1159507997765729e-70,True,-1.7605939071408747,Large
Sweet 16,3.2244359701016987,4.839139456725449,-1.6147034866237502,7.074899773260157e-51,True,-1.4534942872724192,Large
Elite 8,2.1997001410852404,2.5611121489132267,-0.3614120078279863,7.318002518768562e-08,True,-0.5147177395439019,Medium
Final Four,1.2191384781821895,1.3071548601042928,-0.08801638192210337,0.027478032557718378,True,-0.21510142850391956,Small
Championship,0.654384154407629,0.6571231535285913,-0.0027389991209623155,0.9157063344001399,False,-0.01048783095193671,Negligible
Overall,27.7929989831414,38.357123618084344,-10.564124634942946,8.596575410285658e-81,True,-1.964169552861952,Large
