round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.005,0.004494949494949495,0.0005050505050505048,0.1123595505617977
First Round,1.0,0.01,0.007171717171717172,0.0028282828282828283,0.39436619718309857
First Round,2.0,0.01,0.016212121212121212,-0.006212121212121212,-0.38317757009345793
First Round,3.0,0.02,0.02419191919191919,-0.004191919191919191,-0.17327766179540707
First Round,4.0,0.045,0.03535353535353535,0.009646464646464646,0.27285714285714285
First Round,5.0,0.075,0.048434343434343434,0.026565656565656563,0.5484880083420229
First Round,6.0,0.115,0.06904040404040404,0.045959595959595964,0.6656912948061449
First Round,7.0,0.14,0.08611111111111111,0.0538888888888889,0.6258064516129034
First Round,8.0,0.14,0.10202020202020202,0.03797979797979799,0.37227722772277233
First Round,9.0,0.145,0.11151515151515151,0.03348484848484848,0.30027173913043476
First Round,10.0,0.11,0.10914141414141414,0.0008585858585858641,0.007866728366497043
First Round,11.0,0.05,0.10181818181818182,-0.05181818181818182,-0.5089285714285714
First Round,12.0,0.05,0.09136363636363637,-0.041363636363636366,-0.4527363184079602
First Round,13.0,0.025,0.07090909090909091,-0.045909090909090906,-0.6474358974358974
First Round,14.0,0.02,0.047525252525252526,-0.027525252525252526,-0.5791710945802337
First Round,15.0,0.02,0.03222222222222222,-0.012222222222222221,-0.3793103448275862
First Round,16.0,0.015,0.020151515151515153,-0.0051515151515151535,-0.255639097744361
First Round,17.0,0.005,0.011464646464646464,-0.006464646464646464,-0.5638766519823788
First Round,18.0,0.0,0.005757575757575757,-0.005757575757575757,-1.0
First Round,19.0,0.0,0.002575757575757576,-0.002575757575757576,-1.0
First Round,20.0,0.0,0.0018686868686868688,-0.0018686868686868688,-1.0
First Round,21.0,0.0,0.000505050505050505,-0.000505050505050505,-1.0
First Round,22.0,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
First Round,23.0,0.0,5.0505050505050505e-05,-5.0505050505050505e-05,-1.0
First Round,24.0,0.0,0.0,0.0,inf
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.005,0.007676767676767677,-0.0026767676767676767,-0.34868421052631576
Second Round,1.0,0.005,0.016666666666666666,-0.011666666666666665,-0.7
Second Round,2.0,0.05,0.03691919191919192,0.013080808080808082,0.3543091655266758
Second Round,3.0,0.105,0.06207070707070707,0.04292929292929293,0.6916192026037429
Second Round,4.0,0.17,0.09560606060606061,0.0743939393939394,0.7781299524564185
Second Round,5.0,0.155,0.12868686868686868,0.026313131313131316,0.20447409733124022
Second Round,6.0,0.17,0.14075757575757575,0.029242424242424264,0.20775026910656638
Second Round,7.0,0.155,0.1432828282828283,0.01171717171717171,0.0817765244977088
Second Round,8.0,0.075,0.13055555555555556,-0.055555555555555566,-0.4255319148936171
Second Round,9.0,0.075,0.09318181818181819,-0.018181818181818188,-0.19512195121951226
Second Round,10.0,0.015,0.06828282828282828,-0.05328282828282828,-0.7803254437869822
Second Round,11.0,0.01,0.042676767676767674,-0.03267676767676767,-0.765680473372781
Second Round,12.0,0.01,0.021161616161616163,-0.011161616161616162,-0.5274463007159904
Second Round,13.0,0.0,0.008838383838383838,-0.008838383838383838,-1.0
Second Round,14.0,0.0,0.003181818181818182,-0.003181818181818182,-1.0
Second Round,15.0,0.0,0.00035353535353535354,-0.00035353535353535354,-1.0
Second Round,16.0,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
Sweet 16,0.0,0.045,0.028535353535353535,0.016464646464646463,0.5769911504424778
Sweet 16,1.0,0.095,0.08414141414141414,0.010858585858585859,0.1290516206482593
Sweet 16,2.0,0.195,0.15696969696969698,0.038030303030303025,0.24227799227799224
Sweet 16,3.0,0.255,0.20484848484848484,0.05015151515151517,0.2448224852071007
Sweet 16,4.0,0.22,0.2055050505050505,0.014494949494949505,0.0705333005652495
Sweet 16,5.0,0.135,0.15434343434343434,-0.01934343434343433,-0.12532722513088995
Sweet 16,6.0,0.05,0.10308080808080808,-0.053080808080808076,-0.5149436550710436
Sweet 16,7.0,0.005,0.04939393939393939,-0.044393939393939395,-0.8987730061349694
Sweet 16,8.0,0.0,0.013181818181818182,-0.013181818181818182,-1.0
Elite 8,0.0,0.04,0.05196969696969697,-0.01196969696969697,-0.2303206997084548
Elite 8,1.0,0.23,0.1697979797979798,0.0602020202020202,0.3545508625817965
Elite 8,2.0,0.335,0.3012121212121212,0.03378787878787881,0.11217303822937634
Elite 8,3.0,0.295,0.31146464646464644,-0.01646464646464646,-0.052862007459056254
Elite 8,4.0,0.1,0.16555555555555557,-0.06555555555555556,-0.3959731543624161
Total Upsets,0.0,0.0,0.0013636363636363637,-0.0013636363636363637,-1.0
Total Upsets,1.0,0.0,0.0013636363636363637,-0.0013636363636363637,-1.0
Total Upsets,2.0,0.0,0.0020707070707070706,-0.0020707070707070706,-1.0
Total Upsets,3.0,0.0,0.0031313131313131315,-0.0031313131313131315,-1.0
Total Upsets,4.0,0.005,0.0038383838383838384,0.0011616161616161617,0.3026315789473685
Total Upsets,5.0,0.005,0.005202020202020202,-0.00020202020202020159,-0.0388349514563106
Total Upsets,6.0,0.005,0.005505050505050505,-0.0005050505050505048,-0.09174311926605501
Total Upsets,7.0,0.0,0.007575757575757576,-0.007575757575757576,-1.0
Total Upsets,8.0,0.015,0.009242424242424243,0.0057575757575757565,0.622950819672131
Total Upsets,9.0,0.005,0.00994949494949495,-0.004949494949494949,-0.49746192893401014
Total Upsets,10.0,0.015,0.011515151515151515,0.0034848484848484847,0.3026315789473684
Total Upsets,11.0,0.02,0.013939393939393939,0.0060606060606060615,0.4347826086956523
Total Upsets,12.0,0.03,0.019646464646464648,0.01035353535353535,0.5269922879177376
Total Upsets,13.0,0.03,0.01898989898989899,0.011010101010101008,0.5797872340425531
Total Upsets,14.0,0.01,0.023686868686868687,-0.013686868686868687,-0.5778251599147122
Total Upsets,15.0,0.07,0.02727272727272727,0.04272727272727274,1.566666666666667
Total Upsets,16.0,0.075,0.03272727272727273,0.04227272727272727,1.2916666666666663
Total Upsets,17.0,0.06,0.035606060606060606,0.02439393939393939,0.6851063829787233
Total Upsets,18.0,0.085,0.04035353535353536,0.04464646464646465,1.1063829787234043
Total Upsets,19.0,0.05,0.04080808080808081,0.009191919191919196,0.22524752475247534
Total Upsets,20.0,0.035,0.043383838383838386,-0.008383838383838382,-0.19324796274738062
Total Upsets,21.0,0.07,0.046464646464646465,0.02353535353535354,0.5065217391304349
Total Upsets,22.0,0.07,0.044747474747474744,0.025252525252525262,0.5643340857787813
Total Upsets,23.0,0.045,0.04984848484848485,-0.004848484848484852,-0.09726443768996967
Total Upsets,24.0,0.045,0.05075757575757576,-0.00575757575757576,-0.11343283582089557
Total Upsets,25.0,0.06,0.04494949494949495,0.01505050505050505,0.3348314606741573
Total Upsets,26.0,0.03,0.04686868686868687,-0.016868686868686873,-0.35991379310344834
Total Upsets,27.0,0.01,0.04287878787878788,-0.032878787878787875,-0.7667844522968197
Total Upsets,28.0,0.06,0.04095959595959596,0.019040404040404038,0.4648581997533908
Total Upsets,29.0,0.01,0.03611111111111111,-0.026111111111111106,-0.723076923076923
Total Upsets,30.0,0.005,0.03611111111111111,-0.031111111111111107,-0.8615384615384615
Total Upsets,31.0,0.005,0.029444444444444443,-0.024444444444444442,-0.830188679245283
Total Upsets,32.0,0.025,0.030505050505050504,-0.005505050505050502,-0.18046357615894032
Total Upsets,33.0,0.015,0.026464646464646465,-0.011464646464646466,-0.43320610687022904
Total Upsets,34.0,0.01,0.02202020202020202,-0.01202020202020202,-0.5458715596330275
Total Upsets,35.0,0.01,0.018737373737373737,-0.008737373737373736,-0.4663072776280323
Total Upsets,36.0,0.01,0.015606060606060606,-0.005606060606060606,-0.3592233009708738
Total Upsets,37.0,0.0,0.013636363636363636,-0.013636363636363636,-1.0
Total Upsets,38.0,0.005,0.010656565656565656,-0.005656565656565656,-0.5308056872037914
Total Upsets,39.0,0.0,0.00909090909090909,-0.00909090909090909,-1.0
Total Upsets,40.0,0.0,0.006666666666666667,-0.006666666666666667,-1.0
Total Upsets,41.0,0.0,0.00595959595959596,-0.00595959595959596,-1.0
Total Upsets,42.0,0.0,0.0052525252525252525,-0.0052525252525252525,-1.0
Total Upsets,43.0,0.0,0.0031313131313131315,-0.0031313131313131315,-1.0
Total Upsets,44.0,0.0,0.0025252525252525255,-0.0025252525252525255,-1.0
Total Upsets,45.0,0.0,0.0013636363636363637,-0.0013636363636363637,-1.0
Total Upsets,46.0,0.0,0.0008080808080808081,-0.0008080808080808081,-1.0
Total Upsets,47.0,0.0,0.0008585858585858586,-0.0008585858585858586,-1.0
Total Upsets,48.0,0.0,0.0002525252525252525,-0.0002525252525252525,-1.0
Total Upsets,49.0,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
Total Upsets,50.0,0.0,0.0,0.0,inf
Total Upsets,51.0,0.0,0.0,0.0,inf
Total Upsets,52.0,0.0,5.0505050505050505e-05,-5.0505050505050505e-05,-1.0
