round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,8.22,9.432121212121212,-1.212121212121211,1.5395700447855562e-06,True,-0.3674601175073484,Small
Second Round,5.635,6.6057575757575755,-0.9707575757575757,2.7840857275585983e-07,True,-0.3993302249685747,Small
Sweet 16,3.14,3.6760606060606063,-0.5360606060606061,2.17922782413731e-05,True,-0.32580950004328485,Small
Elite 8,2.185,2.368838383838384,-0.1838383838383839,0.018884888387953807,True,-0.17270780098001798,Negligible
Final Four,0.875,1.0083333333333333,-0.1333333333333333,0.012050970598040292,True,-0.18503827570257797,Negligible
Championship,0.38,0.4358080808080808,-0.05580808080808081,0.11322403988401758,False,-0.1137426209469905,Negligible
Total,20.435,23.52691919191919,-3.0919191919191924,1.4811642891191566e-07,True,-0.41634655853287894,Small
