round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,16.968431011607613,18.267687561883445,-1.2992565502758318,5.57795445078306e-06,True,-0.3787702225737209,Small
Second Round,8.64397928787451,9.368091733558485,-0.7241124456839749,1.9505098618304572e-06,True,-0.3701323695271334,Small
Sweet 16,4.242281117579811,4.597305363953479,-0.35502424637366836,0.0005092708528159833,True,-0.27015974739502435,Small
Elite 8,2.4842376598833456,2.4785181568571404,0.005719503026205164,0.922359131664358,False,0.007269402342867206,Negligible
Final Four,1.2031574762293302,1.2619202548963262,-0.058762778666995974,0.1076960996728379,False,-0.120556256521793,Negligible
Championship,0.6550609421158791,0.6559172178172115,-0.0008562757013323985,0.9703472530303714,False,-0.002824277234980133,Negligible
Overall,34.197147495290494,36.62944028896608,-2.432292793675586,2.6005257821479008e-08,True,-0.4727634505017098,Small
