round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,9,Mississippi St,78,6415,0.39,0.323989898989899,0.06601010101010102,0.20374123148869838
First Round,11,Columbia,83,7096,0.415,0.35838383838383836,0.05661616161616162,0.1579763246899662
First Round,13,Liberty,76,7560,0.38,0.38181818181818183,-0.0018181818181818299,-0.004761904761904793
First Round,12,South Florida,81,8154,0.405,0.4118181818181818,-0.006818181818181779,-0.01655629139072838
First Round,15,Arkansas St,23,2423,0.115,0.12237373737373737,-0.007373737373737366,-0.060255881139083714
First Round,10,Harvard,75,7585,0.375,0.3830808080808081,-0.008080808080808077,-0.021094264996704012
First Round,10,S Dakota St,44,4551,0.22,0.22984848484848486,-0.009848484848484856,-0.042847725774555076
First Round,9,Indiana,86,8834,0.43,0.44616161616161615,-0.016161616161616155,-0.036223681231605145
First Round,14,Oregon St,46,5026,0.23,0.25383838383838386,-0.023838383838383853,-0.09391165937126945
First Round,13,Norfolk St,66,7012,0.33,0.35414141414141415,-0.02414141414141413,-0.06816885339418137
First Round,10,Nebraska,68,7232,0.34,0.3652525252525253,-0.02525252525252525,-0.0691371681415929
First Round,16,Tennessee Tech,19,2506,0.095,0.12656565656565658,-0.031565656565656575,-0.2494014365522746
First Round,16,UNC Greensboro,9,1556,0.045,0.07858585858585859,-0.033585858585858594,-0.4273778920308484
First Round,14,SF Austin,12,1937,0.06,0.09782828282828283,-0.037828282828282836,-0.38668043366029947
First Round,13,Montana St,54,6118,0.27,0.308989898989899,-0.03898989898989896,-0.12618502778685836
First Round,15,Fair Dickinson,9,1705,0.045,0.08611111111111111,-0.04111111111111111,-0.4774193548387097
First Round,12,Green Bay,81,8861,0.405,0.44752525252525255,-0.04252525252525252,-0.09502313508633335
First Round,11,Murray St,59,6730,0.295,0.3398989898989899,-0.04489898989898994,-0.13209509658246668
First Round,15,Lehigh,27,3611,0.135,0.18237373737373738,-0.047373737373737373,-0.25976183882581
First Round,16,Southern,12,2143,0.06,0.10823232323232324,-0.04823232323232324,-0.4456369575361643
First Round,16,William & Mary,8,1836,0.04,0.09272727272727273,-0.05272727272727273,-0.5686274509803921
First Round,15,Vermont,13,2351,0.065,0.11873737373737374,-0.053737373737373736,-0.452573373032752
First Round,14,FGCU,59,6951,0.295,0.3510606060606061,-0.05606060606060609,-0.15968925334484255
First Round,12,Ball State,68,7845,0.34,0.39621212121212124,-0.05621212121212121,-0.1418738049713193
First Round,11,Iowa State,70,8177,0.35,0.412979797979798,-0.06297979797979802,-0.15250091720679965
First Round,12,Fairfield,69,8102,0.345,0.4091919191919192,-0.06419191919191924,-0.156874845717107
First Round,11,George Mason,70,8236,0.35,0.415959595959596,-0.065959595959596,-0.15857212238950955
First Round,13,Grand Canyon,52,6506,0.26,0.3285858585858586,-0.06858585858585858,-0.2087304027051952
First Round,9,Creighton,100,11470,0.5,0.5792929292929293,-0.0792929292929293,-0.13687881429816914
First Round,9,Georgia Tech,44,6094,0.22,0.30777777777777776,-0.08777777777777776,-0.28519855595667865
First Round,10,Oregon,55,7310,0.275,0.3691919191919192,-0.09419191919191916,-0.25512995896032825
First Round,14,San Diego St,28,4823,0.14,0.24358585858585857,-0.10358585858585856,-0.42525399129172703
Second Round,11,Columbia,36,3011,0.18,0.15207070707070708,0.027929292929292915,0.18365991364995007
Second Round,13,Liberty,37,3172,0.185,0.1602020202020202,0.02479797979797979,0.15479192938209327
Second Round,7,Louisville,42,3724,0.21,0.18808080808080807,0.02191919191919192,0.11654135338345867
Second Round,5,Kansas St,59,5481,0.295,0.2768181818181818,0.018181818181818188,0.06568144499178985
Second Round,6,Michigan,44,4053,0.22,0.2046969696969697,0.01530303030303029,0.0747594374537379
