round,max_advantage_upsets,max_advantage,max_density_upsets,mode_upsets,mean_upsets
First Round,13.0,0.17272727272727273,13.0,13,12.5
Second Round,12.0,0.16868686868686866,10.0,10,11.4
Sweet 16,6.0,0.3111111111111111,6.0,6,6.5
Elite 8,4.0,0.24242424242424243,4.0,4,3.8
Total Upsets,39.0,0.15353535353535355,36.0,36,36.9
