round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,14,Lipscomb,46,2326,0.23,0.2373469387755102,-0.007346938775510181,-0.03095442820292338
First Round,13,Yale,63,3266,0.315,0.333265306122449,-0.018265306122448977,-0.054807103490508255
First Round,9,Baylor,86,4521,0.43,0.4613265306122449,-0.031326530612244885,-0.06790533067905329
First Round,10,Utah State,70,3822,0.35,0.39,-0.040000000000000036,-0.10256410256410266
First Round,16,SIUE,10,911,0.05,0.09295918367346939,-0.04295918367346939,-0.4621295279912184
First Round,13,Grand Canyon,50,2871,0.25,0.2929591836734694,-0.0429591836734694,-0.14663880181121566
First Round,9,Georgia,55,3126,0.275,0.3189795918367347,-0.043979591836734666,-0.13787587971849
First Round,11,Texas,62,3474,0.31,0.3544897959183673,-0.044489795918367325,-0.1255037420840529
First Round,15,Wofford,16,1229,0.08,0.12540816326530613,-0.045408163265306126,-0.36208299430431246
First Round,12,McNeese,49,2850,0.245,0.29081632653061223,-0.04581632653061224,-0.1575438596491228
First Round,13,High Point,68,3797,0.34,0.3874489795918367,-0.04744897959183669,-0.12246510402949687
First Round,13,Akron,53,3064,0.265,0.31265306122448977,-0.04765306122448976,-0.15241514360313305
First Round,15,Robert Morris,27,1793,0.135,0.1829591836734694,-0.04795918367346938,-0.26213050752928047
First Round,14,Troy,39,2381,0.195,0.2429591836734694,-0.04795918367346938,-0.19739605207895838
First Round,12,UC San Diego,56,3271,0.28,0.33377551020408164,-0.05377551020408161,-0.1611128095383674
First Round,16,American,9,1030,0.045,0.10510204081632653,-0.06010204081632653,-0.5718446601941748
First Round,15,Bryant,18,1480,0.09,0.1510204081632653,-0.061020408163265316,-0.4040540540540541
First Round,15,Omaha,8,1085,0.04,0.11071428571428571,-0.0707142857142857,-0.6387096774193548
First Round,12,Liberty,50,3172,0.25,0.3236734693877551,-0.0736734693877551,-0.22761664564943251
First Round,10,Arkansas,75,4400,0.375,0.4489795918367347,-0.07397959183673469,-0.16477272727272727
First Round,16,Norfolk St,7,1091,0.035,0.1113265306122449,-0.0763265306122449,-0.6856095325389551
First Round,9,Oklahoma,75,4445,0.375,0.45357142857142857,-0.07857142857142857,-0.1732283464566929
First Round,11,North Carolina,70,4237,0.35,0.4323469387755102,-0.08234693877551025,-0.19046495161671004
First Round,10,Vanderbilt,42,2876,0.21,0.29346938775510206,-0.08346938775510207,-0.28442280945758003
First Round,14,UNC Wilmington,10,1312,0.05,0.13387755102040816,-0.08387755102040816,-0.6265243902439024
First Round,10,New Mexico,75,4527,0.375,0.46193877551020407,-0.08693877551020407,-0.18820410868124585
First Round,11,VCU,62,3916,0.31,0.3995918367346939,-0.0895918367346939,-0.22420837589376919
First Round,12,Colorado St,68,4246,0.34,0.43326530612244896,-0.09326530612244893,-0.21526142251530841
First Round,16,Alabama St,61,3996,0.305,0.40775510204081633,-0.10275510204081634,-0.252002002002002
First Round,11,Drake,92,5602,0.46,0.5716326530612245,-0.11163265306122444,-0.1952873973580863
First Round,9,Creighton,49,3558,0.245,0.36306122448979594,-0.11806122448979595,-0.3251826869027544
First Round,14,Montana,20,2175,0.1,0.22193877551020408,-0.12193877551020407,-0.5494252873563218
Second Round,5,Memphis,57,2631,0.285,0.26846938775510204,0.016530612244897935,0.06157354618015955
Second Round,8,Louisville,55,2536,0.275,0.2587755102040816,0.016224489795918395,0.06269716088328087
