round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,16.844020179524495,18.6373951237397,-1.7933749442152056,1.4592318431864605e-11,True,-0.5761180477777577,Medium
Second Round,9.04891541628874,9.730494264902443,-0.6815788486137038,1.428036779688267e-07,True,-0.4183953727370654,Small
Sweet 16,4.391005379303457,4.817470788504297,-0.42646540920083975,1.5740585229202426e-06,True,-0.3683326994231854,Small
Elite 8,2.3346357361900125,2.521404522208941,-0.18676878601892843,0.00037922481807136597,True,-0.28113045744583265,Small
Final Four,1.2396476502287324,1.2636482666618403,-0.024000616433107913,0.4961546560086172,False,-0.0507409427223985,Negligible
Championship,0.6160089913627442,0.6410235297164981,-0.02501453835375389,0.27724114123965293,False,-0.0856244425925024,Negligible
Overall,34.47423335289818,37.61143649573373,-3.1372031428355456,3.7234877518106744e-16,True,-0.6897156764888155,Medium
