round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,7.705,9.78061224489796,-2.0756122448979593,1.515221085035295e-15,True,-0.5971342402734165,Medium
Second Round,5.97,7.425102040816326,-1.4551020408163264,3.5294866251634646e-14,True,-0.5604033347700678,Medium
Sweet 16,3.305,4.152448979591837,-0.8474489795918365,9.085181330793335e-12,True,-0.502969681004496,Medium
Elite 8,2.09,2.6014285714285714,-0.5114285714285716,1.4370365698861248e-11,True,-0.4777603233630165,Small
Final Four,0.825,1.1290816326530613,-0.3040816326530613,7.813702659424446e-09,True,-0.4143003766684019,Small
Championship,0.3,0.4853061224489796,-0.1853061224489796,2.0478243407735372e-07,True,-0.3864806872337784,Small
Total,20.195,25.573979591836736,-5.378979591836735,2.929937342386449e-19,True,-0.6689182016364753,Medium
