round,upsets,winners_density,non_winners_density,advantage,relative_advantage
Total Upsets,13.0,0.025,0.012959183673469387,0.012040816326530614,0.9291338582677168
Total Upsets,14.0,0.055,0.015510204081632653,0.03948979591836735,2.5460526315789473
Total Upsets,15.0,0.035,0.019387755102040816,0.015612244897959187,0.805263157894737
Total Upsets,16.0,0.07,0.019183673469387756,0.05081632653061225,2.648936170212766
Total Upsets,17.0,0.04,0.0236734693877551,0.0163265306122449,0.6896551724137931
Total Upsets,18.0,0.045,0.027653061224489794,0.017346938775510204,0.6273062730627307
Total Upsets,19.0,0.03,0.03336734693877551,-0.003367346938775509,-0.10091743119266051
Total Upsets,20.0,0.065,0.03428571428571429,0.030714285714285715,0.8958333333333333
Total Upsets,21.0,0.05,0.03979591836734694,0.010204081632653066,0.25641025641025655
Total Upsets,22.0,0.03,0.043979591836734694,-0.013979591836734695,-0.31786542923433875
Total Upsets,23.0,0.045,0.04122448979591837,0.0037755102040816294,0.0915841584158415
Total Upsets,24.0,0.06,0.04561224489795918,0.014387755102040815,0.31543624161073824
Total Upsets,25.0,0.055,0.04928571428571429,0.005714285714285713,0.11594202898550722
Total Upsets,26.0,0.03,0.05040816326530612,-0.020408163265306124,-0.40485829959514175
Total Upsets,27.0,0.035,0.048775510204081635,-0.013775510204081631,-0.2824267782426778
Total Upsets,28.0,0.045,0.048775510204081635,-0.0037755102040816363,-0.07740585774058585
Total Upsets,29.0,0.025,0.04653061224489796,-0.02153061224489796,-0.46271929824561403
Total Upsets,30.0,0.03,0.05102040816326531,-0.02102040816326531,-0.41200000000000003
Total Upsets,31.0,0.015,0.04214285714285714,-0.027142857142857142,-0.6440677966101694
Total Upsets,32.0,0.02,0.03683673469387755,-0.016836734693877548,-0.4570637119113573
Total Upsets,33.0,0.015,0.03153061224489796,-0.016530612244897963,-0.5242718446601943
Total Upsets,34.0,0.0,0.028469387755102042,-0.028469387755102042,-1.0
Total Upsets,35.0,0.01,0.029081632653061223,-0.019081632653061224,-0.656140350877193
Total Upsets,36.0,0.005,0.02346938775510204,-0.01846938775510204,-0.7869565217391304
Total Upsets,37.0,0.005,0.020306122448979592,-0.015306122448979591,-0.7537688442211055
Total Upsets,38.0,0.0,0.015714285714285715,-0.015714285714285715,-1.0
Total Upsets,39.0,0.0,0.012653061224489797,-0.012653061224489797,-1.0
Total Upsets,40.0,0.01,0.010816326530612244,-0.0008163265306122443,-0.07547169811320749
Total Upsets,41.0,0.0,0.00816326530612245,-0.00816326530612245,-1.0
Total Upsets,42.0,0.0,0.008673469387755102,-0.008673469387755102,-1.0
Total Upsets,43.0,0.0,0.003979591836734694,-0.003979591836734694,-1.0
Total Upsets,44.0,0.0,0.0029591836734693877,-0.0029591836734693877,-1.0
Total Upsets,45.0,0.0,0.0017346938775510204,-0.0017346938775510204,-1.0
Total Upsets,46.0,0.0,0.001530612244897959,-0.001530612244897959,-1.0
Total Upsets,47.0,0.0,0.0008163265306122449,-0.0008163265306122449,-1.0
Total Upsets,48.0,0.0,0.0011224489795918367,-0.0011224489795918367,-1.0
Total Upsets,49.0,0.0,0.0,0.0,inf
Total Upsets,50.0,0.0,0.0,0.0,inf
Total Upsets,51.0,0.0,0.00040816326530612246,-0.00040816326530612246,-1.0
