round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,9.34,9.721464646464646,-0.3814646464646465,0.12682471995948771,False,-0.11673429123730235,Negligible
Second Round,6.98,7.478232323232323,-0.49823232323232247,0.007020632222460356,True,-0.2124837115360198,Small
Sweet 16,3.67,4.1615656565656565,-0.49156565656565654,5.588758374264433e-05,True,-0.32662362604464057,Small
Elite 8,2.39,2.6053030303030305,-0.21530303030303033,0.003342500787868408,True,-0.21243921353522122,Small
Final Four,1.01,1.1285858585858586,-0.11858585858585857,0.023579822941327246,True,-0.16340235769583936,Negligible
Championship,0.395,0.4856565656565657,-0.09065656565656566,0.010694131300752582,True,-0.1833843692195865,Negligible
Total,23.785,25.58080808080808,-1.7958080808080794,0.0017378407607913826,True,-0.2542198037977768,Small
