round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,17.405253231723563,18.56452904651529,-1.1592758147917266,1.018830100037013e-05,True,-0.3711173749924512,Small
Second Round,9.256634935482785,9.774153436516333,-0.5175185010335479,4.7592230138903724e-05,True,-0.3172941220079424,Small
Sweet 16,4.585222910942234,4.828017316569852,-0.24279440562761767,0.005978496578195298,True,-0.21508521298509908,Small
Elite 8,2.394118857087871,2.5259673043619193,-0.1318484472740482,0.0127351649819737,True,-0.1855748625838476,Negligible
Final Four,1.2142564281039268,1.273911426054038,-0.05965499795011131,0.09553097107997778,False,-0.12325033712234355,Negligible
Championship,0.6297814713113659,0.6405949440756453,-0.010813472764279464,0.6382592033607402,False,-0.03539371148834503,Negligible
Overall,35.485267834651744,37.607173474093074,-2.12190563944133,2.1047720088268527e-08,True,-0.48086590411219193,Small
