round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.0,0.0031313131313131315,-0.0031313131313131315,-1.0
First Round,1.0,0.0,0.006313131313131313,-0.006313131313131313,-1.0
First Round,2.0,0.005,0.012121212121212121,-0.007121212121212121,-0.5875
First Round,3.0,0.02,0.019646464646464648,0.00035353535353535234,0.01799485861182513
First Round,4.0,0.015,0.03272727272727273,-0.01772727272727273,-0.5416666666666667
First Round,5.0,0.055,0.04505050505050505,0.009949494949494951,0.22085201793721979
First Round,6.0,0.08,0.06222222222222222,0.01777777777777778,0.28571428571428575
First Round,7.0,0.11,0.08126262626262626,0.028737373737373742,0.3536357986326912
First Round,8.0,0.115,0.09575757575757576,0.01924242424242424,0.20094936708860758
First Round,9.0,0.145,0.11318181818181818,0.031818181818181815,0.28112449799196787
First Round,10.0,0.095,0.11126262626262626,-0.016262626262626256,-0.1461643213799364
First Round,11.0,0.135,0.10883838383838383,0.026161616161616177,0.24037122969837604
First Round,12.0,0.085,0.09232323232323232,-0.007323232323232315,-0.07932166301969357
First Round,13.0,0.045,0.07535353535353535,-0.030353535353535355,-0.40281501340482573
First Round,14.0,0.045,0.054292929292929296,-0.009292929292929297,-0.17116279069767448
First Round,15.0,0.02,0.03833333333333333,-0.01833333333333333,-0.47826086956521735
First Round,16.0,0.02,0.02282828282828283,-0.002828282828282829,-0.12389380530973454
First Round,17.0,0.01,0.013888888888888888,-0.003888888888888888,-0.27999999999999997
First Round,18.0,0.0,0.006212121212121212,-0.006212121212121212,-1.0
First Round,19.0,0.0,0.00297979797979798,-0.00297979797979798,-1.0
First Round,20.0,0.0,0.0014141414141414141,-0.0014141414141414141,-1.0
First Round,21.0,0.0,0.0006565656565656566,-0.0006565656565656566,-1.0
First Round,22.0,0.0,5.0505050505050505e-05,-5.0505050505050505e-05,-1.0
First Round,23.0,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
First Round,24.0,0.0,5.0505050505050505e-05,-5.0505050505050505e-05,-1.0
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.0,0.0034848484848484847,-0.0034848484848484847,-1.0
Second Round,1.0,0.005,0.00994949494949495,-0.004949494949494949,-0.49746192893401014
Second Round,2.0,0.015,0.02025252525252525,-0.005252525252525252,-0.2593516209476309
Second Round,3.0,0.025,0.03419191919191919,-0.009191919191919189,-0.2688330871491875
Second Round,4.0,0.06,0.058383838383838385,0.0016161616161616127,0.027681660899653918
Second Round,5.0,0.145,0.09702020202020202,0.04797979797979797,0.49453409682457045
Second Round,6.0,0.15,0.125,0.024999999999999994,0.19999999999999996
Second Round,7.0,0.18,0.1435858585858586,0.0364141414141414,0.25360534646500166
Second Round,8.0,0.18,0.15035353535353535,0.029646464646464643,0.19717836748404433
Second Round,9.0,0.14,0.13752525252525252,0.0024747474747474907,0.017994858611825308
Second Round,10.0,0.065,0.09944444444444445,-0.034444444444444444,-0.34636871508379885
Second Round,11.0,0.03,0.06328282828282829,-0.03328282828282829,-0.5259377494014366
Second Round,12.0,0.0,0.03515151515151515,-0.03515151515151515,-1.0
Second Round,13.0,0.005,0.01585858585858586,-0.010858585858585859,-0.6847133757961783
Second Round,14.0,0.0,0.005404040404040404,-0.005404040404040404,-1.0
Second Round,15.0,0.0,0.0010606060606060607,-0.0010606060606060607,-1.0
Second Round,16.0,0.0,5.0505050505050505e-05,-5.0505050505050505e-05,-1.0
Sweet 16,0.0,0.005,0.014595959595959596,-0.009595959595959595,-0.657439446366782
Sweet 16,1.0,0.025,0.04904040404040404,-0.024040404040404036,-0.49021627188465494
Sweet 16,2.0,0.14,0.11171717171717171,0.0282828282828283,0.25316455696202544
Sweet 16,3.0,0.295,0.17676767676767677,0.11823232323232322,0.6688571428571428
Sweet 16,4.0,0.275,0.21631313131313132,0.058686868686868704,0.27130515993462534
Sweet 16,5.0,0.19,0.20196969696969697,-0.011969696969696964,-0.05926481620405098
Sweet 16,6.0,0.06,0.14126262626262626,-0.08126262626262626,-0.5752592062924562
Sweet 16,7.0,0.01,0.07055555555555555,-0.06055555555555555,-0.858267716535433
Sweet 16,8.0,0.0,0.017777777777777778,-0.017777777777777778,-1.0
Elite 8,0.0,0.02,0.02792929292929293,-0.007929292929292928,-0.28390596745027125
Elite 8,1.0,0.17,0.11974747474747474,0.05025252525252527,0.4196541543652469
Elite 8,2.0,0.355,0.2816161616161616,0.07338383838383838,0.2605810616929699
Elite 8,3.0,0.31,0.3605050505050505,-0.0505050505050505,-0.1400952647800504
Elite 8,4.0,0.145,0.2102020202020202,-0.0652020202020202,-0.310187409899087
Total Upsets,0.0,0.0,0.0007575757575757576,-0.0007575757575757576,-1.0
Total Upsets,1.0,0.0,0.0010606060606060607,-0.0010606060606060607,-1.0
Total Upsets,2.0,0.0,0.0011616161616161617,-0.0011616161616161617,-1.0
Total Upsets,3.0,0.0,0.0018686868686868688,-0.0018686868686868688,-1.0
Total Upsets,4.0,0.0,0.0028787878787878787,-0.0028787878787878787,-1.0
Total Upsets,5.0,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Total Upsets,6.0,0.0,0.0034343434343434343,-0.0034343434343434343,-1.0
Total Upsets,7.0,0.0,0.004343434343434344,-0.004343434343434344,-1.0
Total Upsets,8.0,0.005,0.005555555555555556,-0.0005555555555555557,-0.10000000000000002
Total Upsets,9.0,0.005,0.007474747474747475,-0.002474747474747475,-0.3310810810810811
Total Upsets,10.0,0.01,0.008131313131313132,0.0018686868686868686,0.22981366459627328
Total Upsets,11.0,0.0,0.009242424242424243,-0.009242424242424243,-1.0
Total Upsets,12.0,0.005,0.011464646464646464,-0.006464646464646464,-0.5638766519823788
Total Upsets,13.0,0.02,0.013939393939393939,0.0060606060606060615,0.4347826086956523
Total Upsets,14.0,0.005,0.017525252525252524,-0.012525252525252523,-0.7146974063400575
Total Upsets,15.0,0.01,0.017676767676767676,-0.007676767676767676,-0.4342857142857143
Total Upsets,16.0,0.04,0.02282828282828283,0.01717171717171717,0.7522123893805309
Total Upsets,17.0,0.035,0.024696969696969696,0.010303030303030307,0.4171779141104296
Total Upsets,18.0,0.055,0.02803030303030303,0.02696969696969697,0.9621621621621622
Total Upsets,19.0,0.04,0.03333333333333333,0.006666666666666668,0.20000000000000004
Total Upsets,20.0,0.095,0.03580808080808081,0.05919191919191919,1.6530324400564174
Total Upsets,21.0,0.035,0.04080808080808081,-0.005808080808080804,-0.14232673267326723
Total Upsets,22.0,0.06,0.042676767676767674,0.017323232323232324,0.40591715976331366
Total Upsets,23.0,0.05,0.044343434343434344,0.005656565656565658,0.12756264236902054
Total Upsets,24.0,0.075,0.050101010101010104,0.024898989898989893,0.49697580645161277
Total Upsets,25.0,0.065,0.04929292929292929,0.01570707070707071,0.31864754098360665
Total Upsets,26.0,0.085,0.050101010101010104,0.0348989898989899,0.6965725806451613
Total Upsets,27.0,0.05,0.049444444444444444,0.0005555555555555591,0.011235955056179848
Total Upsets,28.0,0.03,0.04984848484848485,-0.01984848484848485,-0.3981762917933131
Total Upsets,29.0,0.06,0.04696969696969697,0.013030303030303031,0.2774193548387097
Total Upsets,30.0,0.04,0.043333333333333335,-0.003333333333333334,-0.07692307692307694
Total Upsets,31.0,0.015,0.04095959595959596,-0.02595959595959596,-0.6337854500616523
Total Upsets,32.0,0.015,0.038232323232323236,-0.023232323232323236,-0.607661822985469
Total Upsets,33.0,0.035,0.03565656565656566,-0.0006565656565656539,-0.01841359773371097
Total Upsets,34.0,0.025,0.03176767676767677,-0.00676767676767677,-0.21303656597774248
Total Upsets,35.0,0.015,0.02691919191919192,-0.01191919191919192,-0.4427767354596623
Total Upsets,36.0,0.015,0.022525252525252525,-0.007525252525252525,-0.33408071748878926
Total Upsets,37.0,0.0,0.017676767676767676,-0.017676767676767676,-1.0
Total Upsets,38.0,0.005,0.015606060606060606,-0.010606060606060605,-0.6796116504854368
Total Upsets,39.0,0.0,0.012474747474747475,-0.012474747474747475,-1.0
Total Upsets,40.0,0.0,0.009595959595959595,-0.009595959595959595,-1.0
Total Upsets,41.0,0.0,0.008232323232323232,-0.008232323232323232,-1.0
Total Upsets,42.0,0.0,0.006111111111111111,-0.006111111111111111,-1.0
Total Upsets,43.0,0.0,0.004343434343434344,-0.004343434343434344,-1.0
Total Upsets,44.0,0.0,0.003585858585858586,-0.003585858585858586,-1.0
Total Upsets,45.0,0.0,0.00202020202020202,-0.00202020202020202,-1.0
Total Upsets,46.0,0.0,0.0016161616161616162,-0.0016161616161616162,-1.0
Total Upsets,47.0,0.0,0.00030303030303030303,-0.00030303030303030303,-1.0
Total Upsets,48.0,0.0,0.00040404040404040404,-0.00040404040404040404,-1.0
Total Upsets,49.0,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
Total Upsets,50.0,0.0,0.0002525252525252525,-0.0002525252525252525,-1.0
Total Upsets,51.0,0.0,5.0505050505050505e-05,-5.0505050505050505e-05,-1.0
Total Upsets,52.0,0.0,0.00010101010101010101,-0.00010101010101010101,-1.0
