round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,15.330651934124482,18.626656431963433,-3.2960044978389504,1.4719049779203366e-31,True,-1.0721181334001797,Large
Second Round,8.635167907132615,9.769205497959337,-1.134037590826722,2.3222395341551887e-17,True,-0.7243210427502836,Medium
Sweet 16,3.999867942942784,4.817674268359635,-0.8178063254168513,1.1127006921962188e-18,True,-0.7105558285387814,Medium
Elite 8,2.3455185208618046,2.53876795984513,-0.19324943898332547,0.0003780073288357112,True,-0.2849825506887027,Small
Final Four,1.2200859097016141,1.273578965418429,-0.05349305571681495,0.14967858561635744,False,-0.11805969327859242,Negligible
Championship,0.6061246344045791,0.6492143153219329,-0.04308968091735377,0.06610540586032032,False,-0.16247575045221815,Negligible
Overall,32.137416849167884,37.6750974388679,-5.537680589700017,2.0332530356520648e-41,True,-1.227319428212596,Large
