round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,16,Mount St Marys,2,376,0.01,0.07833333333333334,-0.06833333333333334,-0.8723404255319149
First Round,16,Norfolk St,8,525,0.04,0.109375,-0.06937499999999999,-0.6342857142857142
First Round,16,SIUE,4,441,0.02,0.091875,-0.071875,-0.782312925170068
First Round,14,Troy,34,1169,0.17,0.24354166666666666,-0.07354166666666664,-0.30196749358425995
First Round,15,Omaha,5,533,0.025,0.11104166666666666,-0.08604166666666666,-0.7748592870544089
First Round,15,Robert Morris,18,887,0.09,0.18479166666666666,-0.09479166666666666,-0.5129650507328072
First Round,15,Bryant,11,722,0.055,0.15041666666666667,-0.09541666666666668,-0.6343490304709142
First Round,14,UNC Wilmington,4,588,0.02,0.1225,-0.1025,-0.836734693877551
First Round,15,Wofford,6,642,0.03,0.13375,-0.10375000000000001,-0.7757009345794392
First Round,10,Vanderbilt,37,1388,0.185,0.2891666666666667,-0.10416666666666669,-0.3602305475504323
First Round,9,Georgia,42,1561,0.21,0.3252083333333333,-0.11520833333333333,-0.3542600896860987
First Round,13,Grand Canyon,34,1474,0.17,0.3070833333333333,-0.1370833333333333,-0.4464043419267299
First Round,14,Montana,19,1125,0.095,0.234375,-0.139375,-0.5946666666666667
First Round,12,McNeese,30,1411,0.15,0.2939583333333333,-0.14395833333333333,-0.4897236002834869
First Round,9,Baylor,62,2187,0.31,0.455625,-0.145625,-0.3196159122085048
First Round,13,Akron,31,1475,0.155,0.3072916666666667,-0.1522916666666667,-0.49559322033898306
First Round,16,Alabama St,50,1946,0.25,0.40541666666666665,-0.15541666666666665,-0.3833504624871531
First Round,9,Creighton,41,1731,0.205,0.360625,-0.15562499999999999,-0.4315424610051993
First Round,11,VCU,48,1907,0.24,0.39729166666666665,-0.15729166666666666,-0.39590980597797587
First Round,11,Drake,77,2632,0.385,0.5483333333333333,-0.16333333333333333,-0.2978723404255319
First Round,12,UC San Diego,32,1557,0.16,0.324375,-0.16437500000000002,-0.5067437379576109
First Round,12,Liberty,31,1547,0.155,0.32229166666666664,-0.16729166666666664,-0.5190691661279896
First Round,14,Lipscomb,14,1145,0.07,0.23854166666666668,-0.16854166666666667,-0.7065502183406114
