round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.045,0.006458333333333333,0.03854166666666667,5.967741935483871
First Round,1.0,0.08,0.01125,0.06875,6.111111111111112
First Round,2.0,0.1,0.018958333333333334,0.08104166666666668,4.2747252747252755
First Round,3.0,0.12,0.020416666666666666,0.09958333333333333,4.877551020408164
First Round,4.0,0.105,0.028958333333333332,0.07604166666666666,2.6258992805755392
First Round,5.0,0.12,0.044583333333333336,0.07541666666666666,1.6915887850467288
First Round,6.0,0.105,0.06166666666666667,0.04333333333333333,0.7027027027027026
First Round,7.0,0.075,0.07416666666666667,0.0008333333333333248,0.01123595505617966
First Round,8.0,0.095,0.09770833333333333,-0.0027083333333333265,-0.02771855010660974
First Round,9.0,0.055,0.10916666666666666,-0.05416666666666666,-0.4961832061068702
First Round,10.0,0.05,0.10458333333333333,-0.05458333333333333,-0.5219123505976095
First Round,11.0,0.025,0.10958333333333334,-0.08458333333333334,-0.7718631178707225
First Round,12.0,0.015,0.09270833333333334,-0.07770833333333334,-0.8382022471910112
First Round,13.0,0.01,0.08041666666666666,-0.07041666666666667,-0.8756476683937825
First Round,14.0,0.0,0.04895833333333333,-0.04895833333333333,-1.0
First Round,15.0,0.0,0.03875,-0.03875,-1.0
First Round,16.0,0.0,0.025416666666666667,-0.025416666666666667,-1.0
First Round,17.0,0.0,0.0125,-0.0125,-1.0
First Round,18.0,0.0,0.006875,-0.006875,-1.0
First Round,19.0,0.0,0.00375,-0.00375,-1.0
First Round,20.0,0.0,0.0025,-0.0025,-1.0
First Round,21.0,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
First Round,22.0,0.0,0.0,0.0,inf
First Round,23.0,0.0,0.00020833333333333335,-0.00020833333333333335,-1.0
First Round,24.0,0.0,0.0,0.0,inf
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.03,0.00625,0.02375,3.8
Second Round,1.0,0.12,0.0175,0.1025,5.857142857142856
Second Round,2.0,0.175,0.023541666666666666,0.15145833333333333,6.433628318584071
Second Round,3.0,0.12,0.03729166666666667,0.08270833333333333,2.2178770949720668
Second Round,4.0,0.145,0.05604166666666666,0.08895833333333333,1.5873605947955391
Second Round,5.0,0.12,0.095625,0.024374999999999994,0.25490196078431365
Second Round,6.0,0.145,0.11541666666666667,0.029583333333333323,0.25631768953068584
Second Round,7.0,0.08,0.14708333333333334,-0.06708333333333334,-0.45609065155807366
Second Round,8.0,0.03,0.14708333333333334,-0.11708333333333334,-0.7960339943342777
Second Round,9.0,0.03,0.12770833333333334,-0.09770833333333334,-0.7650897226753671
Second Round,10.0,0.005,0.10375,-0.09874999999999999,-0.9518072289156626
Second Round,11.0,0.0,0.06333333333333334,-0.06333333333333334,-1.0
Second Round,12.0,0.0,0.03770833333333334,-0.03770833333333334,-1.0
Second Round,13.0,0.0,0.015208333333333334,-0.015208333333333334,-1.0
Second Round,14.0,0.0,0.005416666666666667,-0.005416666666666667,-1.0
Second Round,15.0,0.0,0.000625,-0.000625,-1.0
Second Round,16.0,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
Sweet 16,0.0,0.11,0.02375,0.08625,3.631578947368421
Sweet 16,1.0,0.23,0.054375,0.175625,3.2298850574712645
Sweet 16,2.0,0.255,0.105625,0.149375,1.4142011834319528
Sweet 16,3.0,0.15,0.170625,-0.020625000000000004,-0.12087912087912091
Sweet 16,4.0,0.185,0.215,-0.03,-0.13953488372093023
Sweet 16,5.0,0.05,0.1925,-0.14250000000000002,-0.7402597402597403
Sweet 16,6.0,0.01,0.146875,-0.136875,-0.9319148936170212
Sweet 16,7.0,0.01,0.06854166666666667,-0.058541666666666665,-0.8541033434650456
Sweet 16,8.0,0.0,0.022708333333333334,-0.022708333333333334,-1.0
Elite 8,0.0,0.15,0.036458333333333336,0.11354166666666665,3.114285714285714
Elite 8,1.0,0.295,0.12145833333333333,0.17354166666666665,1.4288164665523155
Elite 8,2.0,0.29,0.27270833333333333,0.01729166666666665,0.06340718105423981
Elite 8,3.0,0.18,0.3414583333333333,-0.16145833333333331,-0.47284929835265405
Elite 8,4.0,0.085,0.22791666666666666,-0.14291666666666664,-0.6270566727605118
Total Upsets,0.0,0.005,0.0010416666666666667,0.003958333333333334,3.8000000000000003
Total Upsets,1.0,0.0,0.003125,-0.003125,-1.0
Total Upsets,2.0,0.015,0.0014583333333333334,0.013541666666666665,9.285714285714285
Total Upsets,3.0,0.035,0.005,0.030000000000000002,6.0
Total Upsets,4.0,0.065,0.00625,0.058750000000000004,9.4
Total Upsets,5.0,0.045,0.005833333333333334,0.03916666666666666,6.7142857142857135
Total Upsets,6.0,0.055,0.006666666666666667,0.04833333333333333,7.249999999999999
Total Upsets,7.0,0.055,0.0060416666666666665,0.04895833333333333,8.10344827586207
Total Upsets,8.0,0.03,0.007083333333333333,0.022916666666666665,3.235294117647059
Total Upsets,9.0,0.01,0.007083333333333333,0.0029166666666666672,0.41176470588235303
Total Upsets,10.0,0.025,0.006666666666666667,0.018333333333333333,2.75
Total Upsets,11.0,0.055,0.0077083333333333335,0.04729166666666667,6.135135135135135
Total Upsets,12.0,0.035,0.010625,0.024375,2.2941176470588234
Total Upsets,13.0,0.05,0.014791666666666667,0.035208333333333335,2.380281690140845
Total Upsets,14.0,0.06,0.013333333333333334,0.04666666666666666,3.4999999999999996
Total Upsets,15.0,0.055,0.018541666666666668,0.03645833333333333,1.9662921348314604
Total Upsets,16.0,0.025,0.019791666666666666,0.005208333333333336,0.26315789473684226
Total Upsets,17.0,0.025,0.022708333333333334,0.0022916666666666675,0.10091743119266058
Total Upsets,18.0,0.05,0.024375,0.025625000000000002,1.0512820512820513
Total Upsets,19.0,0.045,0.033541666666666664,0.011458333333333334,0.34161490683229817
Total Upsets,20.0,0.04,0.038125,0.0018750000000000017,0.04918032786885251
Total Upsets,21.0,0.03,0.036041666666666666,-0.006041666666666667,-0.16763005780346824
Total Upsets,22.0,0.03,0.043125,-0.013124999999999998,-0.3043478260869565
Total Upsets,23.0,0.06,0.046875,0.013124999999999998,0.27999999999999997
Total Upsets,24.0,0.01,0.04604166666666667,-0.036041666666666666,-0.7828054298642534
Total Upsets,25.0,0.015,0.0525,-0.0375,-0.7142857142857143
Total Upsets,26.0,0.015,0.044375,-0.029375,-0.6619718309859155
Total Upsets,27.0,0.01,0.05,-0.04,-0.7999999999999999
Total Upsets,28.0,0.015,0.04645833333333333,-0.03145833333333333,-0.6771300448430493
Total Upsets,29.0,0.015,0.05,-0.035,-0.7000000000000001
Total Upsets,30.0,0.0,0.04145833333333333,-0.04145833333333333,-1.0
Total Upsets,31.0,0.005,0.04645833333333333,-0.04145833333333333,-0.8923766816143498
Total Upsets,32.0,0.01,0.03791666666666667,-0.027916666666666666,-0.7362637362637362
Total Upsets,33.0,0.0,0.033541666666666664,-0.033541666666666664,-1.0
Total Upsets,34.0,0.005,0.031041666666666665,-0.026041666666666664,-0.8389261744966443
Total Upsets,35.0,0.0,0.023125,-0.023125,-1.0
Total Upsets,36.0,0.0,0.020833333333333332,-0.020833333333333332,-1.0
Total Upsets,37.0,0.0,0.018958333333333334,-0.018958333333333334,-1.0
Total Upsets,38.0,0.0,0.0175,-0.0175,-1.0
Total Upsets,39.0,0.0,0.013125,-0.013125,-1.0
Total Upsets,40.0,0.0,0.009791666666666667,-0.009791666666666667,-1.0
Total Upsets,41.0,0.0,0.007291666666666667,-0.007291666666666667,-1.0
