seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
1,Houston,86,1009,0.43,0.21020833333333333,0.21979166666666666,1.045589692765114
1,Florida,40,614,0.2,0.12791666666666668,0.07208333333333333,0.5635179153094462
6,BYU,2,40,0.01,0.008333333333333333,0.001666666666666667,0.20000000000000004
2,Michigan St,10,239,0.05,0.049791666666666665,0.00020833333333333814,0.004184100418410139
6,Illinois,1,25,0.005,0.005208333333333333,-0.00020833333333333294,-0.039999999999999925
14,Lipscomb,0,1,0.0,0.00020833333333333335,-0.00020833333333333335,-1.0
15,Robert Morris,0,1,0.0,0.00020833333333333335,-0.00020833333333333335,-1.0
16,Norfolk St,0,1,0.0,0.00020833333333333335,-0.00020833333333333335,-1.0
15,Wofford,0,1,0.0,0.00020833333333333335,-0.00020833333333333335,-1.0
8,Mississippi St,0,2,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
15,Omaha,0,2,0.0,0.0004166666666666667,-0.0004166666666666667,-1.0
15,Bryant,0,3,0.0,0.000625,-0.000625,-1.0
14,Montana,0,4,0.0,0.0008333333333333334,-0.0008333333333333334,-1.0
13,Grand Canyon,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
12,McNeese,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
13,Akron,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
14,Troy,0,5,0.0,0.0010416666666666667,-0.0010416666666666667,-1.0
13,High Point,0,6,0.0,0.00125,-0.00125,-1.0
10,Vanderbilt,0,6,0.0,0.00125,-0.00125,-1.0
6,Missouri,0,7,0.0,0.0014583333333333334,-0.0014583333333333334,-1.0
11,Texas,0,7,0.0,0.0014583333333333334,-0.0014583333333333334,-1.0
9,Georgia,0,8,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
7,Saint Mary's,1,32,0.005,0.006666666666666667,-0.001666666666666667,-0.25000000000000006
12,UC San Diego,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
8,UConn,0,11,0.0,0.0022916666666666667,-0.0022916666666666667,-1.0
4,Texas A&M,1,36,0.005,0.0075,-0.0024999999999999996,-0.3333333333333333
13,Yale,0,12,0.0,0.0025,-0.0025,-1.0
12,Liberty,0,12,0.0,0.0025,-0.0025,-1.0
9,Oklahoma,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
10,New Mexico,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
7,Kansas,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
10,Utah State,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
7,Marquette,0,15,0.0,0.003125,-0.003125,-1.0
9,Baylor,0,15,0.0,0.003125,-0.003125,-1.0
4,Arizona,1,40,0.005,0.008333333333333333,-0.003333333333333333,-0.39999999999999997
4,Purdue,0,17,0.0,0.0035416666666666665,-0.0035416666666666665,-1.0
5,Clemson,1,43,0.005,0.008958333333333334,-0.003958333333333334,-0.4418604651162791
3,Wisconsin,1,47,0.005,0.009791666666666667,-0.004791666666666667,-0.4893617021276596
11,North Carolina,0,24,0.0,0.005,-0.005,-1.0
7,UCLA,0,25,0.0,0.005208333333333333,-0.005208333333333333,-1.0
10,Arkansas,0,26,0.0,0.005416666666666667,-0.005416666666666667,-1.0
11,Drake,0,27,0.0,0.005625,-0.005625,-1.0
9,Creighton,0,27,0.0,0.005625,-0.005625,-1.0
6,Ole Miss,0,30,0.0,0.00625,-0.00625,-1.0
11,VCU,0,31,0.0,0.006458333333333333,-0.006458333333333333,-1.0
5,Oregon,0,32,0.0,0.006666666666666667,-0.006666666666666667,-1.0
5,Memphis,0,32,0.0,0.006666666666666667,-0.006666666666666667,-1.0
3,Kentucky,1,58,0.005,0.012083333333333333,-0.007083333333333333,-0.5862068965517241
1,Auburn,7,203,0.035,0.042291666666666665,-0.007291666666666662,-0.17241379310344818
12,Colorado St,0,38,0.0,0.007916666666666667,-0.007916666666666667,-1.0
8,Gonzaga,0,40,0.0,0.008333333333333333,-0.008333333333333333,-1.0
1,Duke,23,593,0.115,0.12354166666666666,-0.008541666666666656,-0.0691399662731871
4,Maryland,0,42,0.0,0.00875,-0.00875,-1.0
3,Iowa State,0,44,0.0,0.009166666666666667,-0.009166666666666667,-1.0
8,Louisville,0,48,0.0,0.01,-0.01,-1.0
5,Michigan,1,77,0.005,0.016041666666666666,-0.011041666666666665,-0.6883116883116882
3,Texas Tech,0,56,0.0,0.011666666666666667,-0.011666666666666667,-1.0
16,Alabama St,0,85,0.0,0.017708333333333333,-0.017708333333333333,-1.0
2,Alabama,3,158,0.015,0.032916666666666664,-0.017916666666666664,-0.5443037974683544
2,Tennessee,4,222,0.02,0.04625,-0.02625,-0.5675675675675675
2,St John's,17,541,0.085,0.11270833333333333,-0.02770833333333332,-0.24584103512014777
