round,upsets,winners_density,non_winners_density,advantage,relative_advantage
First Round,0.0,0.0,0.003673469387755102,-0.003673469387755102,-1.0
First Round,1.0,0.01,0.00989795918367347,0.0001020408163265301,0.010309278350515412
First Round,2.0,0.04,0.01479591836734694,0.02520408163265306,1.703448275862069
First Round,3.0,0.055,0.022244897959183673,0.03275510204081633,1.4724770642201837
First Round,4.0,0.065,0.03336734693877551,0.031632653061224494,0.9480122324159024
First Round,5.0,0.13,0.045408163265306126,0.08459183673469388,1.8629213483146065
First Round,6.0,0.155,0.06612244897959184,0.08887755102040816,1.3441358024691357
First Round,7.0,0.125,0.08857142857142856,0.036428571428571435,0.41129032258064524
First Round,8.0,0.115,0.10071428571428571,0.01428571428571429,0.1418439716312057
First Round,9.0,0.055,0.11469387755102041,-0.05969387755102041,-0.5204626334519573
First Round,10.0,0.11,0.10683673469387756,0.0031632653061224453,0.02960840496657112
First Round,11.0,0.03,0.1036734693877551,-0.0736734693877551,-0.7106299212598425
First Round,12.0,0.075,0.09020408163265306,-0.015204081632653063,-0.16855203619909503
First Round,13.0,0.015,0.07051020408163265,-0.05551020408163265,-0.7872648335745297
First Round,14.0,0.01,0.053061224489795916,-0.043061224489795914,-0.8115384615384615
First Round,15.0,0.0,0.030918367346938775,-0.030918367346938775,-1.0
First Round,16.0,0.005,0.02122448979591837,-0.016224489795918368,-0.7644230769230769
First Round,17.0,0.005,0.01173469387755102,-0.0067346938775510205,-0.5739130434782609
First Round,18.0,0.0,0.0069387755102040816,-0.0069387755102040816,-1.0
First Round,19.0,0.0,0.003061224489795918,-0.003061224489795918,-1.0
First Round,20.0,0.0,0.0012244897959183673,-0.0012244897959183673,-1.0
First Round,21.0,0.0,0.0008163265306122449,-0.0008163265306122449,-1.0
First Round,22.0,0.0,0.00020408163265306123,-0.00020408163265306123,-1.0
First Round,23.0,0.0,0.00010204081632653062,-0.00010204081632653062,-1.0
First Round,24.0,0.0,0.0,0.0,inf
First Round,25.0,0.0,0.0,0.0,inf
First Round,26.0,0.0,0.0,0.0,inf
First Round,27.0,0.0,0.0,0.0,inf
First Round,28.0,0.0,0.0,0.0,inf
First Round,29.0,0.0,0.0,0.0,inf
First Round,30.0,0.0,0.0,0.0,inf
First Round,31.0,0.0,0.0,0.0,inf
First Round,32.0,0.0,0.0,0.0,inf
Second Round,0.0,0.02,0.006836734693877551,0.01316326530612245,1.9253731343283587
Second Round,1.0,0.055,0.01989795918367347,0.035102040816326535,1.7641025641025645
Second Round,2.0,0.08,0.0323469387755102,0.0476530612244898,1.4731861198738172
Second Round,3.0,0.125,0.060408163265306125,0.06459183673469387,1.0692567567567566
Second Round,4.0,0.145,0.08785714285714286,0.057142857142857134,0.6504065040650405
Second Round,5.0,0.16,0.12071428571428572,0.039285714285714285,0.3254437869822485
Second Round,6.0,0.145,0.14908163265306124,-0.004081632653061246,-0.027378507871321154
Second Round,7.0,0.155,0.14714285714285713,0.007857142857142868,0.053398058252427265
Second Round,8.0,0.065,0.12897959183673469,-0.06397959183673468,-0.49604430379746833
Second Round,9.0,0.03,0.1,-0.07,-0.7000000000000001
Second Round,10.0,0.015,0.06846938775510204,-0.053469387755102044,-0.7809239940387481
Second Round,11.0,0.0,0.040612244897959185,-0.040612244897959185,-1.0
Second Round,12.0,0.005,0.022755102040816325,-0.017755102040816324,-0.780269058295964
Second Round,13.0,0.0,0.00989795918367347,-0.00989795918367347,-1.0
Second Round,14.0,0.0,0.003673469387755102,-0.003673469387755102,-1.0
Second Round,15.0,0.0,0.001326530612244898,-0.001326530612244898,-1.0
Second Round,16.0,0.0,0.0,0.0,inf
Sweet 16,0.0,0.055,0.030918367346938775,0.024081632653061225,0.7788778877887789
Sweet 16,1.0,0.145,0.08091836734693877,0.06408163265306122,0.7919293820933164
Sweet 16,2.0,0.25,0.15081632653061225,0.09918367346938775,0.6576454668470906
Sweet 16,3.0,0.285,0.20275510204081632,0.08224489795918366,0.4056366381479617
Sweet 16,4.0,0.115,0.19969387755102042,-0.08469387755102041,-0.4241185487991824
Sweet 16,5.0,0.115,0.16173469387755102,-0.04673469387755101,-0.28895899053627755
Sweet 16,6.0,0.03,0.1063265306122449,-0.0763265306122449,-0.7178502879078695
Sweet 16,7.0,0.0,0.052653061224489796,-0.052653061224489796,-1.0
Sweet 16,8.0,0.005,0.014183673469387755,-0.009183673469387754,-0.6474820143884892
Elite 8,0.0,0.095,0.05551020408163265,0.03948979591836735,0.7113970588235294
Elite 8,1.0,0.265,0.1733673469387755,0.0916326530612245,0.5285462036492056
Elite 8,2.0,0.355,0.3026530612244898,0.052346938775510166,0.17296021577882656
Elite 8,3.0,0.25,0.3028571428571429,-0.05285714285714288,-0.17452830188679253
Elite 8,4.0,0.035,0.16561224489795917,-0.13061224489795917,-0.7886629698089956
Total Upsets,0.0,0.0,0.0011224489795918367,-0.0011224489795918367,-1.0
Total Upsets,1.0,0.0,0.0014285714285714286,-0.0014285714285714286,-1.0
Total Upsets,2.0,0.005,0.0022448979591836735,0.0027551020408163266,1.2272727272727273
Total Upsets,3.0,0.01,0.004081632653061225,0.005918367346938775,1.4499999999999997
Total Upsets,4.0,0.0,0.005816326530612245,-0.005816326530612245,-1.0
Total Upsets,5.0,0.01,0.005306122448979592,0.004693877551020408,0.8846153846153846
Total Upsets,6.0,0.005,0.004795918367346939,0.00020408163265306107,0.042553191489361666
Total Upsets,7.0,0.02,0.007857142857142858,0.012142857142857143,1.5454545454545454
Total Upsets,8.0,0.035,0.0070408163265306125,0.02795918367346939,3.9710144927536235
Total Upsets,9.0,0.02,0.008877551020408164,0.011122448979591837,1.2528735632183907
Total Upsets,10.0,0.035,0.012448979591836735,0.02255102040816327,1.811475409836066
Total Upsets,11.0,0.025,0.013571428571428571,0.01142857142857143,0.8421052631578949
Total Upsets,12.0,0.055,0.017142857142857144,0.03785714285714285,2.208333333333333
Total Upsets,13.0,0.055,0.021326530612244897,0.0336734693877551,1.5789473684210529
Total Upsets,14.0,0.055,0.02326530612244898,0.03173469387755102,1.3640350877192982
Total Upsets,15.0,0.045,0.02469387755102041,0.02030612244897959,0.8223140495867767
Total Upsets,16.0,0.035,0.02979591836734694,0.005204081632653065,0.17465753424657546
Total Upsets,17.0,0.07,0.03357142857142857,0.036428571428571435,1.0851063829787235
Total Upsets,18.0,0.07,0.03816326530612245,0.03183673469387756,0.8342245989304815
Total Upsets,19.0,0.05,0.041428571428571426,0.008571428571428577,0.2068965517241381
Total Upsets,20.0,0.05,0.04459183673469388,0.005408163265306125,0.1212814645308925
Total Upsets,21.0,0.055,0.04551020408163265,0.00948979591836735,0.20852017937219738
Total Upsets,22.0,0.075,0.04908163265306122,0.025918367346938774,0.5280665280665281
Total Upsets,23.0,0.035,0.04346938775510204,-0.008469387755102038,-0.19483568075117363
Total Upsets,24.0,0.025,0.051326530612244896,-0.026326530612244894,-0.5129224652087475
Total Upsets,25.0,0.045,0.045816326530612246,-0.0008163265306122477,-0.01781737193763926
Total Upsets,26.0,0.02,0.050510204081632655,-0.030510204081632655,-0.604040404040404
Total Upsets,27.0,0.035,0.04285714285714286,-0.007857142857142854,-0.18333333333333326
Total Upsets,28.0,0.005,0.04418367346938776,-0.03918367346938776,-0.8868360277136259
Total Upsets,29.0,0.015,0.034591836734693876,-0.019591836734693877,-0.5663716814159292
Total Upsets,30.0,0.025,0.03326530612244898,-0.008265306122448982,-0.2484662576687117
Total Upsets,31.0,0.005,0.03163265306122449,-0.026632653061224486,-0.8419354838709677
Total Upsets,32.0,0.0,0.03010204081632653,-0.03010204081632653,-1.0
