round,winning_avg_upsets,non_winning_avg_upsets,difference,p_value,significant,effect_size,effect_magnitude
First Round,7.215,9.506530612244898,-2.291530612244898,2.030640197777664e-19,True,-0.6947164350703489,Medium
Second Round,4.925,6.681632653061224,-1.7566326530612244,3.1814494469923416e-20,True,-0.7077013242710906,Medium
Sweet 16,2.755,3.718265306122449,-0.963265306122449,6.059680715416849e-14,True,-0.5823318169529523,Medium
Elite 8,1.865,2.3496938775510205,-0.48469387755102056,1.0467759400488414e-09,True,-0.45644627317791586,Small
Final Four,0.715,1.008061224489796,-0.293061224489796,4.270526452077259e-08,True,-0.4035353764253767,Small
Championship,0.28,0.4287755102040816,-0.14877551020408158,2.512214392588716e-05,True,-0.3148636668771966,Small
Total,17.755,23.69295918367347,-5.93795918367347,2.9132287755625867e-23,True,-0.7946139704596814,Medium
