seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
1,South Carolina,59,1968,0.295,0.20081632653061224,0.09418367346938775,0.4690040650406504
1,UCLA,39,1445,0.195,0.14744897959183673,0.04755102040816328,0.32249134948096897
1,Texas,26,1128,0.13,0.11510204081632654,0.014897959183673468,0.12943262411347514
4,Kentucky,2,35,0.01,0.0035714285714285713,0.006428571428571429,1.8000000000000003
3,North Carolina,3,97,0.015,0.00989795918367347,0.005102040816326529,0.515463917525773
5,Tennessee,1,18,0.005,0.001836734693877551,0.003163265306122449,1.7222222222222223
5,Alabama,1,22,0.005,0.0022448979591836735,0.0027551020408163266,1.2272727272727273
13,Grand Canyon,1,24,0.005,0.0024489795918367346,0.0025510204081632655,1.0416666666666667
5,Kansas St,1,31,0.005,0.003163265306122449,0.001836734693877551,0.5806451612903225
3,LSU,3,129,0.015,0.013163265306122449,0.0018367346938775505,0.1395348837209302
8,Richmond,1,33,0.005,0.0033673469387755102,0.0016326530612244899,0.48484848484848486
6,Iowa,1,44,0.005,0.004489795918367347,0.0005102040816326531,0.11363636363636365
16,Southern,0,2,0.0,0.00020408163265306123,-0.00020408163265306123,-1.0
16,UNC Greensboro,0,2,0.0,0.00020408163265306123,-0.00020408163265306123,-1.0
15,Fair Dickinson,0,3,0.0,0.0003061224489795918,-0.0003061224489795918,-1.0
15,Arkansas St,0,4,0.0,0.00040816326530612246,-0.00040816326530612246,-1.0
14,SF Austin,0,4,0.0,0.00040816326530612246,-0.00040816326530612246,-1.0
14,Oregon St,0,6,0.0,0.0006122448979591836,-0.0006122448979591836,-1.0
15,Vermont,0,6,0.0,0.0006122448979591836,-0.0006122448979591836,-1.0
10,S Dakota St,0,6,0.0,0.0006122448979591836,-0.0006122448979591836,-1.0
14,San Diego St,0,6,0.0,0.0006122448979591836,-0.0006122448979591836,-1.0
9,Georgia Tech,0,7,0.0,0.0007142857142857143,-0.0007142857142857143,-1.0
15,Lehigh,0,7,0.0,0.0007142857142857143,-0.0007142857142857143,-1.0
11,Murray St,0,8,0.0,0.0008163265306122449,-0.0008163265306122449,-1.0
16,Tennessee Tech,0,9,0.0,0.0009183673469387755,-0.0009183673469387755,-1.0
10,Oregon,0,9,0.0,0.0009183673469387755,-0.0009183673469387755,-1.0
9,Mississippi St,0,9,0.0,0.0009183673469387755,-0.0009183673469387755,-1.0
8,Utah,0,11,0.0,0.0011224489795918367,-0.0011224489795918367,-1.0
10,Nebraska,0,12,0.0,0.0012244897959183673,-0.0012244897959183673,-1.0
12,South Florida,0,14,0.0,0.0014285714285714286,-0.0014285714285714286,-1.0
9,Indiana,0,15,0.0,0.001530612244897959,-0.001530612244897959,-1.0
8,Illinois,0,17,0.0,0.0017346938775510204,-0.0017346938775510204,-1.0
12,Green Bay,0,17,0.0,0.0017346938775510204,-0.0017346938775510204,-1.0
13,Liberty,0,18,0.0,0.001836734693877551,-0.001836734693877551,-1.0
7,Vanderbilt,0,18,0.0,0.001836734693877551,-0.001836734693877551,-1.0
13,Montana St,0,19,0.0,0.0019387755102040817,-0.0019387755102040817,-1.0
13,Norfolk St,0,19,0.0,0.0019387755102040817,-0.0019387755102040817,-1.0
10,Harvard,0,20,0.0,0.0020408163265306124,-0.0020408163265306124,-1.0
4,Baylor,2,118,0.01,0.012040816326530613,-0.0020408163265306124,-0.16949152542372883
12,Ball State,0,20,0.0,0.0020408163265306124,-0.0020408163265306124,-1.0
11,George Mason,0,23,0.0,0.002346938775510204,-0.002346938775510204,-1.0
8,California,0,24,0.0,0.0024489795918367346,-0.0024489795918367346,-1.0
11,Iowa State,0,25,0.0,0.002551020408163265,-0.002551020408163265,-1.0
12,Fairfield,0,28,0.0,0.002857142857142857,-0.002857142857142857,-1.0
11,Columbia,0,28,0.0,0.002857142857142857,-0.002857142857142857,-1.0
7,Louisville,0,31,0.0,0.003163265306122449,-0.003163265306122449,-1.0
14,FGCU,0,31,0.0,0.003163265306122449,-0.003163265306122449,-1.0
6,Florida St,0,32,0.0,0.0032653061224489797,-0.0032653061224489797,-1.0
5,Ole Miss,0,32,0.0,0.0032653061224489797,-0.0032653061224489797,-1.0
7,Michigan St,0,34,0.0,0.0034693877551020408,-0.0034693877551020408,-1.0
2,UConn,16,819,0.08,0.08357142857142857,-0.0035714285714285726,-0.04273504273504275
4,Ohio State,1,87,0.005,0.008877551020408164,-0.003877551020408164,-0.4367816091954023
6,Michigan,0,40,0.0,0.004081632653061225,-0.004081632653061225,-1.0
6,West Virginia,0,55,0.0,0.005612244897959183,-0.005612244897959183,-1.0
4,Maryland,0,61,0.0,0.006224489795918367,-0.006224489795918367,-1.0
9,Creighton,0,68,0.0,0.0069387755102040816,-0.0069387755102040816,-1.0
1,USC,20,1057,0.1,0.10785714285714286,-0.007857142857142854,-0.07284768211920527
2,Duke,6,391,0.03,0.03989795918367347,-0.00989795918367347,-0.2480818414322251
7,Oklahoma St,0,100,0.0,0.01020408163265306,-0.01020408163265306,-1.0
3,Oklahoma,0,101,0.0,0.010306122448979592,-0.010306122448979592,-1.0
2,NC State,11,664,0.055,0.06775510204081632,-0.01275510204081632,-0.1882530120481927
3,Notre Dame,1,231,0.005,0.023571428571428573,-0.018571428571428572,-0.7878787878787878
2,TCU,5,458,0.025,0.04673469387755102,-0.021734693877551017,-0.4650655021834061
