round,winning_avg_log_prob,non_winning_avg_log_prob,difference,p_value,significant,effect_size,effect_magnitude
First Round,15.80879429243918,18.350166101512446,-2.541371809073267,1.5263282621429184e-18,True,-0.7847806958674199,Medium
Second Round,8.410301715997157,9.412431520299899,-1.0021298043027418,2.772734555236612e-11,True,-0.5100742646282767,Medium
Sweet 16,4.164216616153229,4.6136557378852965,-0.4494391217320679,9.218770295744588e-06,True,-0.33557628569876424,Small
Elite 8,2.3579523343291595,2.466233428369844,-0.10828109404068442,0.06185270342342028,False,-0.14285128782444098,Negligible
Final Four,1.2466331310156535,1.2784008324783014,-0.031767701462647846,0.38675021940807175,False,-0.06700762598985746,Negligible
Championship,0.6550501334796239,0.652890806896268,0.002159326583355936,0.925734296952023,False,0.0073011012721226265,Negligible
Overall,32.642948223414,36.77377842744205,-4.130830204028051,6.3144507775245415e-21,True,-0.8247988123044765,Large
