round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
First Round,9,Indiana,86,4223,0.43,0.4309183673469388,-0.0009183673469387865,-0.0021311863604073188
First Round,11,Columbia,67,3520,0.335,0.35918367346938773,-0.024183673469387712,-0.06732954545454534
First Round,11,George Mason,80,4228,0.4,0.43142857142857144,-0.03142857142857142,-0.07284768211920527
First Round,10,Harvard,70,3755,0.35,0.38316326530612244,-0.03316326530612246,-0.08655126498002666
First Round,10,Oregon,65,3618,0.325,0.36918367346938774,-0.04418367346938773,-0.11967938087341067
First Round,13,Liberty,67,3726,0.335,0.38020408163265307,-0.04520408163265305,-0.11889425657541595
First Round,11,Iowa State,74,4120,0.37,0.4204081632653061,-0.050408163265306116,-0.11990291262135921
First Round,13,Grand Canyon,56,3248,0.28,0.3314285714285714,-0.05142857142857138,-0.15517241379310331
First Round,10,S Dakota St,32,2084,0.16,0.2126530612244898,-0.05265306122448979,-0.24760076775431858
First Round,16,Tennessee Tech,15,1299,0.075,0.13255102040816327,-0.057551020408163275,-0.43418013856812937
First Round,12,Ball State,68,3904,0.34,0.3983673469387755,-0.05836734693877549,-0.1465163934426229
First Round,15,Fair Dickinson,6,895,0.03,0.0913265306122449,-0.0613265306122449,-0.6715083798882682
First Round,15,Arkansas St,12,1233,0.06,0.12581632653061225,-0.06581632653061226,-0.5231143552311436
First Round,14,SF Austin,7,1003,0.035,0.10234693877551021,-0.0673469387755102,-0.6580259222333001
First Round,10,Nebraska,60,3602,0.3,0.3675510204081633,-0.0675510204081633,-0.1837867851193782
First Round,14,FGCU,56,3433,0.28,0.3503061224489796,-0.07030612244897955,-0.2006990969997086
First Round,16,Southern,6,999,0.03,0.10193877551020408,-0.07193877551020408,-0.7057057057057057
First Round,13,Norfolk St,55,3429,0.275,0.34989795918367345,-0.07489795918367342,-0.21405657626130056
First Round,14,San Diego St,34,2406,0.17,0.24551020408163265,-0.07551020408163264,-0.3075644222776392
First Round,16,UNC Greensboro,0,773,0.0,0.07887755102040817,-0.07887755102040817,-1.0
First Round,14,Oregon St,36,2569,0.18,0.2621428571428571,-0.08214285714285713,-0.31335149863760214
First Round,16,High Point,3,980,0.015,0.1,-0.085,-0.85
First Round,12,South Florida,65,4062,0.325,0.4144897959183673,-0.08948979591836731,-0.21590349581486945
First Round,12,Green Bay,73,4455,0.365,0.4545918367346939,-0.0895918367346939,-0.19708193041526378
First Round,15,Lehigh,19,1877,0.095,0.19153061224489795,-0.09653061224489795,-0.5039957378795951
First Round,9,Georgia Tech,44,3145,0.22,0.3209183673469388,-0.10091836734693879,-0.3144674085850557
First Round,12,Fairfield,62,4062,0.31,0.4144897959183673,-0.10448979591836732,-0.2520925652387986
First Round,15,Vermont,6,1318,0.03,0.13448979591836735,-0.10448979591836735,-0.7769347496206374
First Round,13,Montana St,40,3003,0.2,0.30642857142857144,-0.10642857142857143,-0.3473193473193473
First Round,9,Creighton,94,5683,0.47,0.5798979591836735,-0.10989795918367351,-0.1895125813830724
First Round,9,Mississippi St,40,3112,0.2,0.31755102040816324,-0.11755102040816323,-0.3701799485861182
First Round,11,Murray St,45,3400,0.225,0.3469387755102041,-0.12193877551020407,-0.3514705882352941
Second Round,6,Iowa,57,2637,0.285,0.26908163265306123,0.015918367346938744,0.05915813424345836
Second Round,7,Oklahoma St,54,2526,0.27,0.2577551020408163,0.01224489795918371,0.04750593824228043
Second Round,5,Ole Miss,48,2286,0.24,0.23326530612244897,0.006734693877551018,0.028871391076115475
Second Round,5,Kansas St,56,2708,0.28,0.2763265306122449,0.003673469387755146,0.01329394387001493
Second Round,10,Oregon,19,935,0.095,0.09540816326530613,-0.00040816326530612734,-0.004278074866310212
Second Round,8,Richmond,32,1661,0.16,0.16948979591836735,-0.00948979591836735,-0.05599036724864541
Second Round,13,Grand Canyon,28,1495,0.14,0.15255102040816326,-0.01255102040816325,-0.0822742474916387
Second Round,6,Michigan,37,1993,0.185,0.2033673469387755,-0.01836734693877551,-0.09031610637230306
Second Round,16,UNC Greensboro,0,187,0.0,0.019081632653061224,-0.019081632653061224,-1.0
Second Round,14,SF Austin,0,204,0.0,0.020816326530612245,-0.020816326530612245,-1.0
Second Round,15,Fair Dickinson,0,206,0.0,0.021020408163265305,-0.021020408163265305,-1.0
Second Round,6,Florida St,41,2235,0.205,0.2280612244897959,-0.023061224489795917,-0.10111856823266219
Second Round,16,High Point,0,245,0.0,0.025,-0.025,-1.0
